relation	predicate	count
BFO:0000050	biolink:part_of	189
BFO:0000051	biolink:has_part	192
BFO:0000055	biolink:has_part	5
BFO:0000066	biolink:occurs_in	87
BFO:0000067	biolink:occurs_in	2
ENVO:01001307	biolink:coexists_with	4
IAO:0000039	biolink:has_unit	1
IAO:0000136	biolink:related_to	23
IAO:0000219	biolink:related_to	1
IAO:0000221	biolink:related_to	2
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:has_participant	13
OBI:0000299	biolink:has_output	14
OBI:0000312	biolink:related_to	8
OBI:0000417	biolink:related_to	17
OBI:0001938	biolink:related_to	2
OBO:chebi#has_functional_parent	biolink:related_to	6
OBO:chebi#has_parent_hydride	biolink:related_to	3
OBO:chebi#is_conjugate_acid_of	biolink:related_to	33
OBO:chebi#is_conjugate_base_of	biolink:related_to	33
OBO:chebi#is_substituent_group_from	biolink:related_to	4
OBO:chebi#is_tautomer_of	biolink:related_to	4
OBO:envo#has_increased_levels_of	biolink:related_to	7
OBO:has_prefix	biolink:related_to	78
OBO:uo#is_unit_of	biolink:has_unit	3
RO:0000052	biolink:related_to	394
RO:0000053	biolink:related_to	1
RO:0000056	biolink:participates_in	120
RO:0000057	biolink:has_participant	77
RO:0000059	biolink:related_to	1
RO:0000080	biolink:related_to	1
RO:0000081	biolink:related_to	3
RO:0000086	biolink:has_attribute	67
RO:0000087	biolink:has_attribute	239
RO:0001000	biolink:derives_from	24
RO:0001015	biolink:location_of	3
RO:0001025	biolink:located_in	18
RO:0002131	biolink:overlaps	26
RO:0002150	biolink:related_to	3
RO:0002151	biolink:related_to	1
RO:0002160	biolink:in_taxon	1
RO:0002162	biolink:in_taxon	4
RO:0002202	biolink:develops_from	27
RO:0002211	biolink:regulates	16
RO:0002213	biolink:positively_regulates	15
RO:0002219	biolink:coexists_with	4
RO:0002220	biolink:coexists_with	23
RO:0002229	biolink:temporally_related_to	1
RO:0002233	biolink:has_input	12
RO:0002234	biolink:has_output	28
RO:0002297	biolink:has_output	3
RO:0002303	biolink:located_in	1
RO:0002350	biolink:part_of	6
RO:0002353	biolink:has_output	7
RO:0002354	biolink:has_output	15
RO:0002473	biolink:related_to	66
RO:0002495	biolink:related_to	1
RO:0002500	biolink:capable_of	1
RO:0002507	biolink:causes	22
RO:0002509	biolink:causes	2
RO:0002608	biolink:caused_by	9
RO:0002609	biolink:related_to	2
RO:0015012	biolink:related_to	2
TO:has_dividend_quality	biolink:related_to	3
TO:has_divisor_quality	biolink:related_to	3
inverseOf	biolink:inverseOf	42
rdfs:subClassOf	biolink:subclass_of	5342
subPropertyOf	biolink:subPropertyOf	193
type	biolink:type	330
