relation	predicate	count
BFO:0000050	biolink:related_to	3697
BFO:0000051	biolink:related_to	583
BFO:0000062	biolink:related_to	9
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	134
BFO:0000067	biolink:related_to	3
BSPO:0000096	biolink:related_to	30
BSPO:0000097	biolink:related_to	30
BSPO:0000098	biolink:related_to	5
BSPO:0000099	biolink:related_to	48
BSPO:0000100	biolink:related_to	5
BSPO:0000102	biolink:related_to	5
BSPO:0000104	biolink:related_to	1
BSPO:0000107	biolink:related_to	3
BSPO:0000108	biolink:related_to	3
BSPO:0000110	biolink:related_to	1
BSPO:0000113	biolink:related_to	4
BSPO:0000120	biolink:related_to	17
BSPO:0000121	biolink:related_to	15
BSPO:0000122	biolink:related_to	1
BSPO:0000123	biolink:related_to	4
BSPO:0000125	biolink:related_to	1
BSPO:0000126	biolink:related_to	18
BSPO:0001102	biolink:related_to	2
BSPO:0001106	biolink:related_to	2
BSPO:0001107	biolink:related_to	2
BSPO:0001108	biolink:related_to	1
BSPO:0005001	biolink:related_to	1
BSPO:0015001	biolink:related_to	5
BSPO:0015005	biolink:related_to	4
BSPO:0015006	biolink:related_to	1
BSPO:0015007	biolink:related_to	5
BSPO:0015008	biolink:related_to	8
BSPO:0015101	biolink:related_to	2
CL:4030045	biolink:related_to	3
CL:4030046	biolink:related_to	99
IAO:0000136	biolink:related_to	1
IAO:0000219	biolink:related_to	1
OBI:0000299	biolink:related_to	1
OBI:0000312	biolink:related_to	1
OBO:AISM_0000011	biolink:related_to	5
OBO:AISM_0000012	biolink:related_to	1
OBO:AISM_0000078	biolink:related_to	56
OBO:AISM_0000079	biolink:related_to	104
OBO:GOREL_0002003	biolink:related_to	2
OBO:GOREL_0002004	biolink:related_to	3
OBO:bspo#parallel_to	biolink:related_to	12
OBO:chebi#has_functional_parent	biolink:related_to	13
OBO:chebi#has_parent_hydride	biolink:related_to	4
OBO:chebi#is_conjugate_acid_of	biolink:related_to	29
OBO:chebi#is_conjugate_base_of	biolink:related_to	29
OBO:chebi#is_enantiomer_of	biolink:related_to	2
OBO:chebi#is_substituent_group_from	biolink:related_to	5
OBO:chebi#is_tautomer_of	biolink:related_to	4
OBO:pr#has_gene_template	biolink:related_to	2
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	23
OBO:uberon/core#channel_for	biolink:related_to	20
OBO:uberon/core#channels_from	biolink:related_to	14
OBO:uberon/core#channels_into	biolink:related_to	12
OBO:uberon/core#extends_fibers_into	biolink:related_to	18
OBO:uberon/core#filtered_through	biolink:related_to	2
OBO:uberon/core#indirectly_supplies	biolink:related_to	4
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	4
OBO:uberon/core#protects	biolink:related_to	3
OBO:uberon/core#proximally_connected_to	biolink:related_to	4
OBO:uberon/core#sexually_homologous_to	biolink:related_to	3
OBO:uberon/core#site_of	biolink:related_to	6
OBO:uberon/core#subdivision_of	biolink:related_to	4
RO:0000053	biolink:related_to	114
RO:0000056	biolink:related_to	7
RO:0000057	biolink:related_to	7
RO:0000086	biolink:related_to	40
RO:0000087	biolink:related_to	96
RO:0001015	biolink:related_to	8
RO:0001018	biolink:related_to	3
RO:0001025	biolink:related_to	48
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	3
RO:0002007	biolink:related_to	18
RO:0002008	biolink:related_to	19
RO:0002082	biolink:related_to	8
RO:0002087	biolink:related_to	2
RO:0002100	biolink:related_to	14
RO:0002103	biolink:related_to	1
RO:0002104	biolink:related_to	9
RO:0002120	biolink:related_to	1
RO:0002131	biolink:related_to	111
RO:0002134	biolink:related_to	8
RO:0002150	biolink:related_to	264
RO:0002160	biolink:related_to	298
RO:0002162	biolink:related_to	2
RO:0002170	biolink:related_to	49
RO:0002176	biolink:related_to	64
RO:0002177	biolink:related_to	1
RO:0002178	biolink:related_to	36
RO:0002179	biolink:related_to	39
RO:0002180	biolink:related_to	1
RO:0002202	biolink:related_to	465
RO:0002203	biolink:related_to	7
RO:0002207	biolink:related_to	1
RO:0002211	biolink:related_to	638
RO:0002212	biolink:related_to	531
RO:0002213	biolink:related_to	529
RO:0002215	biolink:related_to	138
RO:0002216	biolink:related_to	30
RO:0002219	biolink:related_to	20
RO:0002220	biolink:related_to	150
RO:0002221	biolink:related_to	20
RO:0002223	biolink:related_to	1
RO:0002224	biolink:related_to	6
RO:0002226	biolink:related_to	3
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	4
RO:0002231	biolink:related_to	15
RO:0002232	biolink:related_to	13
RO:0002252	biolink:related_to	15
RO:0002254	biolink:related_to	40
RO:0002256	biolink:related_to	15
RO:0002285	biolink:related_to	3
RO:0002295	biolink:related_to	1
RO:0002296	biolink:related_to	304
RO:0002297	biolink:related_to	92
RO:0002298	biolink:related_to	181
RO:0002299	biolink:related_to	37
RO:0002315	biolink:related_to	107
RO:0002328	biolink:related_to	3
RO:0002338	biolink:related_to	14
RO:0002339	biolink:related_to	60
RO:0002341	biolink:related_to	13
RO:0002342	biolink:related_to	26
RO:0002343	biolink:related_to	16
RO:0002344	biolink:related_to	6
RO:0002351	biolink:related_to	7
RO:0002353	biolink:related_to	9
RO:0002371	biolink:related_to	169
RO:0002373	biolink:related_to	2
RO:0002376	biolink:related_to	9
RO:0002380	biolink:related_to	4
RO:0002385	biolink:related_to	9
RO:0002387	biolink:related_to	86
RO:0002388	biolink:related_to	1
RO:0002433	biolink:related_to	141
RO:0002473	biolink:related_to	117
RO:0002488	biolink:related_to	6
RO:0002489	biolink:related_to	1
