relation	predicate	count
BFO:0000050	biolink:related_to	9
BFO:0000051	biolink:related_to	39
BFO:0000054	biolink:related_to	1
BFO:0000066	biolink:related_to	1
BFO:0000067	biolink:related_to	1
BFO:0000075	biolink:related_to	9
BFO:0000111	biolink:related_to	1
BFO:0000118	biolink:related_to	2
BFO:0000137	biolink:related_to	1
BFO:0000139	biolink:related_to	2
BFO:0000167	biolink:related_to	1
BFO:0000177	biolink:related_to	1
GEO:000000329	biolink:related_to	1
IAO:0000039	biolink:related_to	1
IAO:0000136	biolink:related_to	33
IAO:0000219	biolink:related_to	12
IAO:0000221	biolink:related_to	1
OBI:0000293	biolink:related_to	7
OBI:0000299	biolink:related_to	11
OBI:0000312	biolink:related_to	13
OBI:0000417	biolink:related_to	1
OBO:APOLLO_SV_00000067	biolink:related_to	4
RO:0000052	biolink:related_to	22
RO:0000053	biolink:related_to	10
RO:0000056	biolink:related_to	6
RO:0000057	biolink:related_to	4
RO:0000059	biolink:related_to	1
RO:0000087	biolink:related_to	1
RO:0000091	biolink:related_to	5
RO:0002087	biolink:related_to	2
RO:0002212	biolink:related_to	1
RO:0002218	biolink:related_to	1
RO:0002233	biolink:related_to	1
RO:0002234	biolink:related_to	1
RO:0002297	biolink:related_to	1
RO:0002351	biolink:related_to	3
RO:0002411	biolink:related_to	3
inverseOf	biolink:inverseOf	43
rdfs:subClassOf	biolink:subclass_of	1734
subPropertyOf	biolink:subPropertyOf	228
type	biolink:type	26
