relation	predicate	count
BCO:0000085	biolink:related_to	1
BCO:0000086	biolink:related_to	1
BFO:0000051	biolink:has_part	5
BFO:0000054	biolink:related_to	1
BFO:0000055	biolink:has_part	1
BFO:0000087	biolink:related_to	1
IAO:0000136	biolink:related_to	3
OBI:0000293	biolink:has_participant	6
OBI:0000295	biolink:participates_in	2
OBI:0000299	biolink:has_output	9
OBI:0000312	biolink:related_to	6
OBI:0000417	biolink:related_to	4
OBI:0000643	biolink:related_to	2
OBI:0001938	biolink:related_to	1
RO:0000052	biolink:related_to	1
RO:0000079	biolink:related_to	1
RO:0000085	biolink:related_to	3
RO:0000087	biolink:has_attribute	2
RO:0001000	biolink:derives_from	1
RO:0002321	biolink:related_to	1
RO:0002351	biolink:has_part	2
inverseOf	biolink:inverseOf	31
rdfs:subClassOf	biolink:subclass_of	247
subPropertyOf	biolink:subPropertyOf	99
type	biolink:type	43
