relation	predicate	count
BFO:0000050	biolink:related_to	45
BFO:0000051	biolink:related_to	39
OBO:chebi#has_functional_parent	biolink:related_to	6
OBO:chebi#has_parent_hydride	biolink:related_to	2
OBO:chebi#is_conjugate_acid_of	biolink:related_to	29
OBO:chebi#is_conjugate_base_of	biolink:related_to	29
OBO:chebi#is_substituent_group_from	biolink:related_to	5
OBO:chebi#is_tautomer_of	biolink:related_to	10
OBO:pr#has_gene_template	biolink:related_to	1
RO:0000053	biolink:related_to	12
RO:0000087	biolink:related_to	75
RO:0002160	biolink:related_to	2
RO:0002180	biolink:related_to	5
RO:0002215	biolink:related_to	4
RO:0002224	biolink:related_to	2
RO:0002230	biolink:related_to	1
RO:0002233	biolink:related_to	34
RO:0002234	biolink:related_to	2
RO:0002353	biolink:related_to	1
RO:0002578	biolink:related_to	3
RO:0002588	biolink:related_to	6
RO:0002590	biolink:related_to	7
RO:0002592	biolink:related_to	12
RO:0002629	biolink:related_to	3
RO:0002630	biolink:related_to	3
RO:0004007	biolink:related_to	52
RO:0004008	biolink:related_to	46
RO:0015011	biolink:related_to	2
inverseOf	biolink:inverseOf	35
rdfs:subClassOf	biolink:subclass_of	1126
subPropertyOf	biolink:subPropertyOf	168
