relation	predicate	count
BFO:0000050	biolink:part_of	457
BFO:0000051	biolink:has_part	10
CEPH:0001007	biolink:related_to	3
OBO:ceph#continuous_with	biolink:related_to	12
OBO:ceph#dorsal_to	biolink:related_to	1
OBO:ceph#proximal_to	biolink:related_to	1
OBO:ceph#secretes	biolink:related_to	2
OBO:ceph#surrounded_by	biolink:related_to	1
OBO:ceph#surrounds	biolink:related_to	8
OBO:ceph#trait_of	biolink:related_to	24
OBO:ceph#ventral_to	biolink:related_to	1
RO:0001025	biolink:located_in	1
RO:0002160	biolink:in_taxon	3
RO:0002202	biolink:develops_from	71
RO:0002215	biolink:capable_of	3
RO:0002220	biolink:coexists_with	5
RO:0002371	biolink:related_to	1
SIO:000658	biolink:related_to	1
inverseOf	biolink:inverseOf	4
rdfs:subClassOf	biolink:subclass_of	1757
subPropertyOf	biolink:subPropertyOf	17
