relation	predicate	count
BFO:0000052	biolink:related_to	2
BFO:0000054	biolink:related_to	2
BFO:0000056	biolink:participates_in	2
BFO:0000057	biolink:related_to	63
BFO:0000068	biolink:related_to	1
BFO:0000085	biolink:related_to	5
BFO:0000087	biolink:related_to	2
BFO:0000110	biolink:related_to	3
BFO:0000118	biolink:related_to	96
BFO:0000137	biolink:related_to	1
BFO:0000174	biolink:related_to	15
BFO:0000175	biolink:related_to	2
BFO:0000178	biolink:related_to	1
CHMO:0002748	biolink:related_to	1
CHMO:0002922	biolink:related_to	9
CHMO:0010016	biolink:related_to	2
CHMO:0010017	biolink:related_to	2
IAO:0000136	biolink:related_to	7
OBI:0000293	biolink:has_participant	1
OBI:0000299	biolink:has_output	28
OBI:0000312	biolink:related_to	33
OBI:0000417	biolink:related_to	2
RO:0002411	biolink:precedes	1
rdfs:subClassOf	biolink:subclass_of	3088
subPropertyOf	biolink:subPropertyOf	9
