relation	predicate	count
BFO:0000050	biolink:related_to	139
BFO:0000051	biolink:related_to	240
BFO:0000053	biolink:related_to	21
BFO:0000054	biolink:related_to	23
BFO:0000055	biolink:related_to	6
BFO:0000066	biolink:related_to	2
BFO:0000162	biolink:related_to	1
IAO:0000136	biolink:related_to	15
OBI:0000293	biolink:related_to	24
OBI:0000299	biolink:related_to	14
OBI:0000312	biolink:related_to	190
OBI:0000417	biolink:related_to	32
OBI:0000643	biolink:related_to	8
OBI:0001938	biolink:related_to	1
OBO:CIDO_0000010	biolink:related_to	1
OBO:CIDO_0000022	biolink:related_to	2
OBO:CIDO_0000029	biolink:related_to	376
OBO:CIDO_0000030	biolink:related_to	4
OBO:CIDO_0000040	biolink:related_to	1
OBO:CIDO_0000045	biolink:related_to	4
OBO:CIDO_0000053	biolink:related_to	8
OBO:CIDO_0000118	biolink:related_to	63
OBO:CIDO_0000119	biolink:related_to	436
OBO:CIDO_0000120	biolink:related_to	63
OBO:CIDO_0000121	biolink:related_to	24
OBO:CIDO_0000122	biolink:related_to	21
OBO:CIDO_0000123	biolink:related_to	3
OBO:CIDO_0000124	biolink:related_to	40
OBO:CIDO_0000125	biolink:related_to	1
OBO:CIDO_0000126	biolink:related_to	2
OBO:CIDO_0000127	biolink:related_to	14
OBO:CIDO_0000128	biolink:related_to	52
OBO:CIDO_0000129	biolink:related_to	8
OBO:CIDO_0000130	biolink:related_to	4
OBO:CIDO_0000131	biolink:related_to	67
OBO:CIDO_0000132	biolink:related_to	1
OBO:CIDO_0000133	biolink:related_to	1
OBO:CIDO_0000140	biolink:related_to	2
OBO:CIDO_0000141	biolink:related_to	32
OBO:CIDO_0000144	biolink:related_to	54
OBO:CIDO_0000145	biolink:related_to	49
OBO:CIDO_0000148	biolink:related_to	6
OBO:CIDO_0000173	biolink:related_to	18
OBO:CIDO_0000175	biolink:related_to	9
OBO:CIDO_0000176	biolink:related_to	8
OBO:CIDO_0000184	biolink:related_to	4
OBO:CIDO_0000189	biolink:related_to	1
OBO:CIDO_0000208	biolink:related_to	4
OBO:CIDO_0000219	biolink:related_to	1
OBO:CIDO_0000221	biolink:related_to	1
OBO:CIDO_0000222	biolink:related_to	22
OBO:CIDO_0000224	biolink:related_to	2
OBO:CIDO_0000244	biolink:related_to	14
OBO:CIDO_0000248	biolink:related_to	1
OBO:CIDO_0000249	biolink:related_to	1
OBO:CIDO_0000269	biolink:related_to	1
OBO:CIDO_0000270	biolink:related_to	3
OBO:CIDO_0000281	biolink:related_to	13
OBO:CIDO_0000298	biolink:related_to	16
OBO:CIDO_0000299	biolink:related_to	17
OBO:CIDO_0000312	biolink:related_to	120
OBO:CIDO_0000359	biolink:related_to	1
OBO:CIDO_0000360	biolink:related_to	1
OBO:CIDO_0000386	biolink:related_to	3
OBO:CIDO_0000394	biolink:related_to	4
OBO:CIDO_0000410	biolink:related_to	4
