relation	predicate	count
BFO:0000050	biolink:part_of	732
OBO:CLAO_0001220	biolink:related_to	32
OBO:CLAO_0001272	biolink:related_to	1
OBO:CLAO_0001291	biolink:related_to	3
OBO:CLAO_0001292	biolink:related_to	1
OBO:CLAO_0001298	biolink:related_to	1
OBO:CLAO_0001460	biolink:related_to	1
OBO:CLAO_0001531	biolink:related_to	21
OBO:CLAO_0001542	biolink:related_to	1
OBO:CLAO_0001543	biolink:related_to	1
OBO:CLAO_0001545	biolink:related_to	1
PATO:0001916	biolink:related_to	1
PATO:0001918	biolink:related_to	1
RO:0000053	biolink:related_to	11
RO:0002134	biolink:related_to	16
RO:0002150	biolink:related_to	23
RO:0002170	biolink:related_to	6
RO:0002202	biolink:develops_from	1
RO:0002220	biolink:coexists_with	17
RO:0002371	biolink:related_to	229
RO:0002473	biolink:has_part	1
RO:0002488	biolink:temporally_related_to	12
rdfs:subClassOf	biolink:subclass_of	1524
subPropertyOf	biolink:subPropertyOf	8
