relation	predicate	count
BFO:0000050	biolink:related_to	805
BFO:0000051	biolink:related_to	329
BFO:0000055	biolink:related_to	2
BFO:0000062	biolink:related_to	6
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	12
BFO:0000067	biolink:related_to	6
BFO:0000086	biolink:related_to	6
BSPO:0000096	biolink:related_to	2
BSPO:0000098	biolink:related_to	1
BSPO:0000099	biolink:related_to	1
BSPO:0000102	biolink:related_to	1
BSPO:0000107	biolink:related_to	2
BSPO:0000108	biolink:related_to	3
BSPO:0000120	biolink:related_to	1
BSPO:0000121	biolink:related_to	1
BSPO:0000123	biolink:related_to	1
BSPO:0000126	biolink:related_to	10
BSPO:0001106	biolink:related_to	2
BSPO:0001107	biolink:related_to	1
BSPO:0001108	biolink:related_to	1
CLO:0000015	biolink:related_to	189
CLO:0000179	biolink:related_to	8424
CLO:0037207	biolink:related_to	8
CLO:0037208	biolink:related_to	14
CLO:0037209	biolink:related_to	50
CLO:0037210	biolink:related_to	2
IAO:0000136	biolink:related_to	2
OBI:0000293	biolink:related_to	9
OBI:0000295	biolink:related_to	2914
OBI:0000299	biolink:related_to	9
OBI:0000312	biolink:related_to	7
OBI:0000417	biolink:related_to	8
OBI:0000643	biolink:related_to	5
OBO:GOREL_0002004	biolink:related_to	2
OBO:chebi#has_functional_parent	biolink:related_to	9
OBO:chebi#has_parent_hydride	biolink:related_to	6
OBO:chebi#is_conjugate_acid_of	biolink:related_to	23
OBO:chebi#is_conjugate_base_of	biolink:related_to	23
OBO:chebi#is_substituent_group_from	biolink:related_to	5
OBO:chebi#is_tautomer_of	biolink:related_to	6
OBO:cl#has_completed	biolink:related_to	7
OBO:cl#has_high_plasma_membrane_amount	biolink:related_to	22
OBO:cl#has_low_plasma_membrane_amount	biolink:related_to	14
OBO:cl#has_not_completed	biolink:related_to	5
OBO:cl#lacks_part	biolink:related_to	8
OBO:cl#lacks_plasma_membrane_part	biolink:related_to	193
OBO:pr#has_gene_template	biolink:related_to	1
OBO:pr#lacks_part	biolink:related_to	4
OBO:uberon/core#channel_for	biolink:related_to	10
OBO:uberon/core#channels_from	biolink:related_to	4
OBO:uberon/core#channels_into	biolink:related_to	4
OBO:uberon/core#conduit_for	biolink:related_to	2
OBO:uberon/core#filtered_through	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	1
OBO:uberon/core#proximally_connected_to	biolink:related_to	3
OBO:uberon/core#sexually_homologous_to	biolink:related_to	1
OBO:uberon/core#site_of	biolink:related_to	5
OBO:uberon/core#synapsed_by	biolink:related_to	1
RO:0000053	biolink:related_to	49
RO:0000056	biolink:related_to	10
RO:0000057	biolink:related_to	4
RO:0000085	biolink:related_to	2
RO:0000086	biolink:related_to	23
RO:0000087	biolink:related_to	64
RO:0001000	biolink:related_to	349
RO:0001015	biolink:related_to	2
RO:0001025	biolink:related_to	14
RO:0002002	biolink:related_to	1
RO:0002007	biolink:related_to	15
RO:0002082	biolink:related_to	6
RO:0002087	biolink:related_to	1
RO:0002100	biolink:related_to	4
RO:0002104	biolink:related_to	94
RO:0002131	biolink:related_to	19
RO:0002150	biolink:related_to	18
RO:0002160	biolink:related_to	132
RO:0002162	biolink:related_to	3
RO:0002170	biolink:related_to	2
RO:0002176	biolink:related_to	16
RO:0002178	biolink:related_to	1
RO:0002180	biolink:related_to	2
RO:0002202	biolink:related_to	302
RO:0002203	biolink:related_to	6
RO:0002211	biolink:related_to	40
RO:0002212	biolink:related_to	4
RO:0002213	biolink:related_to	23
RO:0002215	biolink:related_to	162
RO:0002216	biolink:related_to	14
RO:0002219	biolink:related_to	8
RO:0002220	biolink:related_to	26
RO:0002221	biolink:related_to	4
RO:0002223	biolink:related_to	1
RO:0002224	biolink:related_to	7
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	3
RO:0002231	biolink:related_to	1
RO:0002232	biolink:related_to	1
RO:0002233	biolink:related_to	19
RO:0002254	biolink:related_to	22
RO:0002256	biolink:related_to	11
RO:0002285	biolink:related_to	2
RO:0002295	biolink:related_to	1
RO:0002296	biolink:related_to	20
RO:0002297	biolink:related_to	9
RO:0002298	biolink:related_to	8
RO:0002313	biolink:related_to	49
RO:0002315	biolink:related_to	21
RO:0002328	biolink:related_to	3
RO:0002338	biolink:related_to	2
RO:0002339	biolink:related_to	6
RO:0002341	biolink:related_to	3
RO:0002342	biolink:related_to	4
RO:0002344	biolink:related_to	2
RO:0002351	biolink:related_to	6
RO:0002353	biolink:related_to	2
RO:0002371	biolink:related_to	2
RO:0002385	biolink:related_to	5
RO:0002387	biolink:related_to	59
RO:0002433	biolink:related_to	54
RO:0002473	biolink:related_to	56
RO:0002488	biolink:related_to	5
RO:0002491	biolink:related_to	5
RO:0002492	biolink:related_to	22
RO:0002493	biolink:related_to	3
RO:0002494	biolink:related_to	4
RO:0002495	biolink:related_to	31
RO:0002496	biolink:related_to	4
RO:0002497	biolink:related_to	1
RO:0002551	biolink:related_to	6
RO:0002565	biolink:related_to	11
RO:0002572	biolink:related_to	7
RO:0002576	biolink:related_to	3
RO:0002588	biolink:related_to	14
RO:0002590	biolink:related_to	2
RO:0002592	biolink:related_to	16
RO:0002608	biolink:related_to	10
RO:0003000	biolink:related_to	9
RO:0003001	biolink:related_to	6
RO:0004007	biolink:related_to	31
RO:0004008	biolink:related_to	23
RO:0004009	biolink:related_to	6
RO:0012003	biolink:related_to	2
RO:0012008	biolink:related_to	7
RO:0015007	biolink:related_to	3
RO:0015008	biolink:related_to	3
RO:0015010	biolink:related_to	2
RO:0015011	biolink:related_to	2
inverseOf	biolink:inverseOf	35
rdfs:subClassOf	biolink:subclass_of	46085
subPropertyOf	biolink:subPropertyOf	223
type	biolink:type	30
