relation	predicate	count
BFO:0000050	biolink:related_to	299
BFO:0000051	biolink:related_to	167
BSPO:0000096	biolink:related_to	30
BSPO:0000097	biolink:related_to	16
BSPO:0000098	biolink:related_to	3
BSPO:0000099	biolink:related_to	62
BSPO:0000100	biolink:related_to	9
BSPO:0000102	biolink:related_to	3
OBO:AISM_0000011	biolink:related_to	37
OBO:AISM_0000012	biolink:related_to	2
OBO:AISM_0000078	biolink:related_to	53
OBO:AISM_0000079	biolink:related_to	60
OBO:bspo#parallel_to	biolink:related_to	17
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	22
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	20
RO:0000053	biolink:related_to	88
RO:0001015	biolink:related_to	3
RO:0001018	biolink:related_to	4
RO:0001019	biolink:related_to	1
RO:0002008	biolink:related_to	21
RO:0002150	biolink:related_to	233
RO:0002220	biolink:related_to	95
RO:0002371	biolink:related_to	149
inverseOf	biolink:inverseOf	9
rdfs:subClassOf	biolink:subclass_of	907
subPropertyOf	biolink:subPropertyOf	6
