relation	predicate	count
BFO:0000050	biolink:part_of	158
BFO:0000051	biolink:has_part	11
BFO:0000068	biolink:related_to	1
BSPO:0000097	biolink:coexists_with	1
BSPO:0000098	biolink:coexists_with	1
BSPO:0000099	biolink:coexists_with	1
BSPO:0000104	biolink:coexists_with	1
BSPO:0000107	biolink:located_in	1
BSPO:0000110	biolink:coexists_with	1
BSPO:0000113	biolink:coexists_with	4
BSPO:0015001	biolink:coexists_with	7
BSPO:0015002	biolink:coexists_with	4
BSPO:0015003	biolink:coexists_with	6
BSPO:0015005	biolink:coexists_with	5
BSPO:0015006	biolink:coexists_with	1
BSPO:0015007	biolink:coexists_with	7
BSPO:0015008	biolink:coexists_with	12
OBO:bspo#parallel_to	biolink:related_to	2
OBO:cl#lacks_plasma_membrane_part	biolink:related_to	3
RO:0000053	biolink:related_to	2
RO:0001025	biolink:located_in	2
RO:0002087	biolink:preceded_by	3
RO:0002104	biolink:has_part	5
RO:0002131	biolink:overlaps	20
RO:0002134	biolink:related_to	1
RO:0002150	biolink:related_to	1
RO:0002176	biolink:related_to	3
RO:0002202	biolink:develops_from	50
RO:0002203	biolink:develops_from	1
RO:0002207	biolink:develops_from	28
RO:0002215	biolink:capable_of	19
RO:0002216	biolink:participates_in	1
RO:0002220	biolink:coexists_with	4
RO:0002254	biolink:related_to	8
RO:0002473	biolink:has_part	2
RO:0002491	biolink:related_to	10
RO:0002496	biolink:temporally_related_to	1
SIO:000658	biolink:related_to	1
inverseOf	biolink:inverseOf	33
rdfs:subClassOf	biolink:subclass_of	828
subPropertyOf	biolink:subPropertyOf	149
type	biolink:type	17
