relation	predicate	count
BFO:0000054	biolink:related_to	6
BFO:0000058	biolink:related_to	1
BFO:0000066	biolink:related_to	75
BFO:0000082	biolink:related_to	47
BFO:0000083	biolink:related_to	1
BFO:0000108	biolink:related_to	1
BFO:0000113	biolink:related_to	39
BFO:0000117	biolink:related_to	4
BFO:0000132	biolink:related_to	16
BFO:0000151	biolink:related_to	1
BFO:0000153	biolink:related_to	1
BFO:0000167	biolink:related_to	29
BFO:0000169	biolink:related_to	1
BFO:0000184	biolink:related_to	1
inverseOf	biolink:inverseOf	24
rdfs:subClassOf	biolink:subclass_of	457
subPropertyOf	biolink:subPropertyOf	59
