relation	predicate	count
BFO:0000050	biolink:related_to	8
BFO:0000051	biolink:related_to	29
BFO:0000117	biolink:related_to	1
IAO:0000039	biolink:related_to	1
IAO:0000136	biolink:related_to	25
IAO:0000219	biolink:related_to	1
IAO:0000221	biolink:related_to	1
OBI:0000293	biolink:related_to	8
OBI:0000299	biolink:related_to	4
OBI:0000312	biolink:related_to	9
OBI:0001938	biolink:related_to	1
OBI:1110060	biolink:related_to	1
RO:0000052	biolink:related_to	5
RO:0000053	biolink:related_to	1
RO:0000056	biolink:related_to	1
RO:0000057	biolink:related_to	4
RO:0000085	biolink:related_to	1
RO:0002212	biolink:related_to	1
RO:0002233	biolink:related_to	4
RO:0002234	biolink:related_to	4
inverseOf	biolink:inverseOf	23
rdfs:subClassOf	biolink:subclass_of	624
subPropertyOf	biolink:subPropertyOf	87
type	biolink:type	23
