relation	predicate	count
BFO:0000050	biolink:related_to	215
BFO:0000051	biolink:related_to	44
BFO:0000066	biolink:related_to	1
FBdv:00018001	biolink:related_to	112
OBO:chebi#is_conjugate_acid_of	biolink:related_to	5
OBO:chebi#is_conjugate_base_of	biolink:related_to	5
OBO:nbo#in_response_to	biolink:related_to	3
RO:0000052	biolink:related_to	15
RO:0000053	biolink:related_to	12
RO:0000056	biolink:related_to	3
RO:0000057	biolink:related_to	7
RO:0000086	biolink:related_to	25
RO:0000087	biolink:related_to	34
RO:0000091	biolink:related_to	1
RO:0002087	biolink:related_to	172
RO:0002090	biolink:related_to	20
RO:0002131	biolink:related_to	64
RO:0002180	biolink:related_to	1
RO:0002202	biolink:related_to	53
RO:0002203	biolink:related_to	18
RO:0002211	biolink:related_to	61
RO:0002215	biolink:related_to	14
RO:0002219	biolink:related_to	2
RO:0002220	biolink:related_to	7
RO:0002233	biolink:related_to	5
RO:0002234	biolink:related_to	5
RO:0002292	biolink:related_to	1
RO:0002297	biolink:related_to	2
RO:0002351	biolink:related_to	4
RO:0002353	biolink:related_to	2
RO:0002354	biolink:related_to	6
RO:0002473	biolink:related_to	42
RO:0002500	biolink:related_to	1
RO:0002507	biolink:related_to	7
RO:0002608	biolink:related_to	4
RO:0002610	biolink:related_to	1
RO:0015007	biolink:related_to	21
RO:0015008	biolink:related_to	21
RO:0015012	biolink:related_to	6
inverseOf	biolink:inverseOf	28
rdfs:subClassOf	biolink:subclass_of	1853
subPropertyOf	biolink:subPropertyOf	95
type	biolink:type	42
