relation	predicate	count
BFO:0000051	biolink:related_to	537
BFO:0000053	biolink:related_to	1100
OBO:chebi#has_functional_parent	biolink:related_to	832
OBO:chebi#has_parent_hydride	biolink:related_to	224
OBO:chebi#is_conjugate_acid_of	biolink:related_to	1013
OBO:chebi#is_conjugate_base_of	biolink:related_to	1013
OBO:chebi#is_enantiomer_of	biolink:related_to	402
OBO:chebi#is_substituent_group_from	biolink:related_to	33
OBO:chebi#is_tautomer_of	biolink:related_to	254
OBO:pr#has_gene_template	biolink:related_to	1
RO:0000052	biolink:related_to	1
RO:0000087	biolink:related_to	7340
RO:0002353	biolink:related_to	1
http://www.obofoundry.org/ro/ro.owl#has_proper_part	biolink:related_to	631157
inverseOf	biolink:inverseOf	24
rdfs:subClassOf	biolink:subclass_of	739870
subPropertyOf	biolink:subPropertyOf	129
type	biolink:type	19
