relation	predicate	count
BFO:0000050	biolink:related_to	34
BFO:0000051	biolink:related_to	90
BFO:0000055	biolink:related_to	7
ECO:9000000	biolink:related_to	1396
IAO:0000136	biolink:related_to	90
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:related_to	67
OBI:0000295	biolink:related_to	1
OBI:0000299	biolink:related_to	59
OBI:0000312	biolink:related_to	151
OBI:0000417	biolink:related_to	57
OBI:0000643	biolink:related_to	9
OBI:0001938	biolink:related_to	2
RO:0000052	biolink:related_to	8
RO:0000053	biolink:related_to	2
RO:0000057	biolink:related_to	8
RO:0000059	biolink:related_to	1
RO:0000079	biolink:related_to	1
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	50
RO:0000087	biolink:related_to	11
RO:0001000	biolink:related_to	5
RO:0002211	biolink:related_to	110
RO:0002212	biolink:related_to	98
RO:0002213	biolink:related_to	97
inverseOf	biolink:inverseOf	18
rdfs:subClassOf	biolink:subclass_of	5665
subPropertyOf	biolink:subPropertyOf	23
