relation	predicate	count
BFO:0000050	biolink:part_of	2082
BFO:0000051	biolink:has_part	315
BFO:0000054	biolink:related_to	2
BFO:0000062	biolink:preceded_by	7
BFO:0000063	biolink:precedes	7
BFO:0000066	biolink:occurs_in	89
BFO:0000067	biolink:occurs_in	3
BSPO:0000096	biolink:coexists_with	4
BSPO:0000098	biolink:coexists_with	2
BSPO:0000099	biolink:coexists_with	1
BSPO:0000102	biolink:coexists_with	2
BSPO:0000107	biolink:located_in	3
BSPO:0000108	biolink:located_in	3
BSPO:0000120	biolink:located_in	9
BSPO:0000121	biolink:located_in	10
BSPO:0000122	biolink:located_in	3
BSPO:0000123	biolink:located_in	5
BSPO:0000126	biolink:located_in	12
BSPO:0001106	biolink:part_of	1
BSPO:0001107	biolink:located_in	2
IAO:0000136	biolink:related_to	1
OBO:GOREL_0002003	biolink:affects_localization_of	2
OBO:GOREL_0002004	biolink:increases_degradation_of	3
OBO:chebi#has_functional_parent	biolink:related_to	13
OBO:chebi#has_parent_hydride	biolink:related_to	2
OBO:chebi#is_conjugate_acid_of	biolink:related_to	33
OBO:chebi#is_conjugate_base_of	biolink:related_to	33
OBO:chebi#is_substituent_group_from	biolink:related_to	5
OBO:chebi#is_tautomer_of	biolink:related_to	4
OBO:cl#lacks_part	biolink:related_to	2
OBO:cl#lacks_plasma_membrane_part	biolink:related_to	94
OBO:nbo#has_participant	biolink:has_participant	2
OBO:pr#has_gene_template	biolink:related_to	1
OBO:uberon/core#anteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#channel_for	biolink:coexists_with	5
OBO:uberon/core#channels_from	biolink:coexists_with	4
OBO:uberon/core#channels_into	biolink:coexists_with	1
OBO:uberon/core#conduit_for	biolink:coexists_with	4
OBO:uberon/core#extends_fibers_into	biolink:coexists_with	18
OBO:uberon/core#filtered_through	biolink:coexists_with	2
OBO:uberon/core#posteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#protects	biolink:related_to	3
OBO:uberon/core#proximally_connected_to	biolink:coexists_with	2
OBO:uberon/core#site_of	biolink:occurs_in	3
OBO:uberon/core#synapsed_by	biolink:coexists_with	1
RO:0000052	biolink:related_to	2
RO:0000053	biolink:related_to	36
RO:0000056	biolink:participates_in	6
RO:0000057	biolink:has_participant	9
RO:0000086	biolink:has_attribute	37
RO:0000087	biolink:has_attribute	94
RO:0001015	biolink:location_of	3
RO:0001019	biolink:has_part	1
RO:0001025	biolink:located_in	31
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	3
RO:0002007	biolink:part_of	15
RO:0002082	biolink:temporally_related_to	7
RO:0002087	biolink:preceded_by	2
RO:0002100	biolink:overlaps	11
RO:0002104	biolink:has_part	9
RO:0002131	biolink:overlaps	33
RO:0002134	biolink:related_to	5
RO:0002150	biolink:related_to	13
RO:0002160	biolink:in_taxon	174
RO:0002162	biolink:in_taxon	15
RO:0002170	biolink:related_to	25
RO:0002176	biolink:related_to	26
RO:0002177	biolink:related_to	1
RO:0002178	biolink:related_to	14
RO:0002179	biolink:related_to	16
RO:0002202	biolink:develops_from	311
RO:0002203	biolink:develops_from	7
RO:0002207	biolink:develops_from	1
RO:0002211	biolink:regulates	448
RO:0002212	biolink:negatively_regulates	364
RO:0002213	biolink:positively_regulates	362
RO:0002215	biolink:capable_of	102
RO:0002216	biolink:participates_in	13
RO:0002219	biolink:coexists_with	13
RO:0002220	biolink:coexists_with	58
RO:0002221	biolink:coexists_with	15
RO:0002223	biolink:temporally_related_to	1
RO:0002224	biolink:temporally_related_to	7
RO:0002229	biolink:temporally_related_to	1
RO:0002230	biolink:temporally_related_to	5
RO:0002231	biolink:occurs_in	10
RO:0002232	biolink:occurs_in	8
RO:0002233	biolink:has_input	96
RO:0002234	biolink:has_output	5
RO:0002254	biolink:related_to	26
RO:0002256	biolink:causes	12
RO:0002285	biolink:preceded_by	2
RO:0002295	biolink:regulates	1
RO:0002296	biolink:has_output	192
RO:0002297	biolink:has_output	64
RO:0002298	biolink:has_output	128
RO:0002299	biolink:has_output	4
RO:0002303	biolink:located_in	1
RO:0002313	biolink:affects_transport_of	80
RO:0002315	biolink:causes	79
RO:0002328	biolink:related_to	3
RO:0002338	biolink:related_to	10
RO:0002339	biolink:related_to	50
RO:0002341	biolink:related_to	10
RO:0002343	biolink:affects	12
RO:0002344	biolink:related_to	5
RO:0002351	biolink:has_part	6
RO:0002353	biolink:has_output	6
RO:0002354	biolink:has_output	1
RO:0002371	biolink:related_to	11
RO:0002373	biolink:related_to	1
RO:0002376	biolink:part_of	2
RO:0002380	biolink:part_of	8
RO:0002385	biolink:related_to	9
RO:0002387	biolink:related_to	52
RO:0002433	biolink:overlaps	106
RO:0002470	biolink:related_to	10
RO:0002473	biolink:has_part	78
RO:0002488	biolink:temporally_related_to	6
RO:0002489	biolink:temporally_related_to	1
RO:0002491	biolink:related_to	6
RO:0002492	biolink:temporally_related_to	18
RO:0002493	biolink:temporally_related_to	5
RO:0002494	biolink:related_to	6
RO:0002495	biolink:related_to	31
RO:0002496	biolink:temporally_related_to	4
RO:0002497	biolink:temporally_related_to	1
RO:0002507	biolink:causes	12
RO:0002509	biolink:causes	2
RO:0002551	biolink:has_part	12
RO:0002572	biolink:part_of	12
RO:0002576	biolink:part_of	7
RO:0002588	biolink:has_output	29
RO:0002590	biolink:has_input	17
RO:0002592	biolink:affects	46
RO:0002608	biolink:caused_by	23
RO:0002634	biolink:related_to	1
RO:0003000	biolink:produces	7
RO:0003001	biolink:produced_by	10
RO:0004007	biolink:has_participant	49
RO:0004008	biolink:has_output	42
RO:0012003	biolink:affects	26
RO:0012008	biolink:related_to	15
RO:0015007	biolink:related_to	6
RO:0015011	biolink:related_to	2
inverseOf	biolink:inverseOf	56
rdfs:subClassOf	biolink:subclass_of	10930
subPropertyOf	biolink:subPropertyOf	309
