relation	predicate	count
BFO:0000050	biolink:related_to	262
BFO:0000051	biolink:related_to	537
BFO:0000054	biolink:related_to	1
BFO:0000066	biolink:related_to	11
ENVO:01001307	biolink:related_to	1
ENVO:02500020	biolink:related_to	1
ENVO:2000036	biolink:related_to	2
FOODON:00001301	biolink:related_to	7
FOODON:00001563	biolink:related_to	15
FOODON:00002420	biolink:related_to	4
OBI:0000293	biolink:related_to	2
OBI:0000299	biolink:related_to	4
OBO:chebi#has_functional_parent	biolink:related_to	463
OBO:chebi#has_parent_hydride	biolink:related_to	111
OBO:chebi#is_conjugate_acid_of	biolink:related_to	529
OBO:chebi#is_conjugate_base_of	biolink:related_to	529
OBO:chebi#is_enantiomer_of	biolink:related_to	240
OBO:chebi#is_substituent_group_from	biolink:related_to	28
OBO:chebi#is_tautomer_of	biolink:related_to	160
OBO:envo#has_increased_levels_of	biolink:related_to	21
OBO:exo#interacts_with_an_exposure_receptor_via	biolink:related_to	2
OBO:exo#interacts_with_an_exposure_stressor_via	biolink:related_to	1
OBO:nbo#has_participant	biolink:related_to	8
OBO:pato#decreased_in_magnitude_relative_to	biolink:related_to	4
OBO:pato#increased_in_magnitude_relative_to	biolink:related_to	3
OBO:pr#has_gene_template	biolink:related_to	1
RO:0000052	biolink:related_to	24
RO:0000053	biolink:related_to	8
RO:0000056	biolink:related_to	12
RO:0000057	biolink:related_to	3
RO:0000085	biolink:related_to	5
RO:0000086	biolink:related_to	74
RO:0000087	biolink:related_to	3871
RO:0000091	biolink:related_to	1
RO:0001000	biolink:related_to	221
RO:0001025	biolink:related_to	12
RO:0002131	biolink:related_to	17
RO:0002150	biolink:related_to	3
RO:0002160	biolink:related_to	5
RO:0002162	biolink:related_to	101
RO:0002176	biolink:related_to	1
RO:0002202	biolink:related_to	41
RO:0002211	biolink:related_to	16
RO:0002212	biolink:related_to	4
RO:0002213	biolink:related_to	3
RO:0002215	biolink:related_to	4
RO:0002219	biolink:related_to	5
RO:0002220	biolink:related_to	17
RO:0002224	biolink:related_to	2
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	1
RO:0002232	biolink:related_to	1
RO:0002233	biolink:related_to	70
RO:0002234	biolink:related_to	30
RO:0002242	biolink:related_to	283
RO:0002243	biolink:related_to	40
RO:0002297	biolink:related_to	4
RO:0002303	biolink:related_to	1
RO:0002309	biolink:related_to	2758
RO:0002350	biolink:related_to	99
RO:0002351	biolink:related_to	3
RO:0002353	biolink:related_to	22
RO:0002354	biolink:related_to	20
RO:0002411	biolink:related_to	1
RO:0002418	biolink:related_to	2
RO:0002427	biolink:related_to	3
RO:0002434	biolink:related_to	2
RO:0002473	biolink:related_to	89
RO:0002495	biolink:related_to	6
RO:0002500	biolink:related_to	1
RO:0002507	biolink:related_to	24
RO:0002509	biolink:related_to	2
RO:0002588	biolink:related_to	6
RO:0002590	biolink:related_to	7
RO:0002592	biolink:related_to	12
RO:0002608	biolink:related_to	15
RO:0003001	biolink:related_to	3
RO:0004007	biolink:related_to	80
RO:0004008	biolink:related_to	73
RO:0015007	biolink:related_to	3
RO:0015008	biolink:related_to	2
RO:0015012	biolink:related_to	2
RO:0016004	biolink:related_to	8
inverseOf	biolink:inverseOf	41
rdfs:subClassOf	biolink:subclass_of	20817
subPropertyOf	biolink:subPropertyOf	217
type	biolink:type	61
