relation	predicate	count
BFO:0000050	biolink:related_to	834
BFO:0000051	biolink:related_to	414
BFO:0000054	biolink:related_to	5
BFO:0000062	biolink:related_to	3
BFO:0000063	biolink:related_to	1
BFO:0000066	biolink:related_to	34
BFO:0000067	biolink:related_to	24
ENVO:01001307	biolink:related_to	21
ENVO:01003004	biolink:related_to	1
ENVO:02000200	biolink:related_to	46
ENVO:02500016	biolink:related_to	1
ENVO:2000036	biolink:related_to	2
RO:0000052	biolink:related_to	63
RO:0000053	biolink:related_to	10
RO:0000056	biolink:related_to	60
RO:0000057	biolink:related_to	141
RO:0000085	biolink:related_to	6
RO:0000086	biolink:related_to	221
RO:0000087	biolink:related_to	14
RO:0000091	biolink:related_to	2
RO:0001000	biolink:related_to	45
RO:0001001	biolink:related_to	2
RO:0001015	biolink:related_to	9
RO:0001019	biolink:related_to	1
RO:0001025	biolink:related_to	54
RO:0002084	biolink:related_to	1
RO:0002088	biolink:related_to	2
RO:0002091	biolink:related_to	1
RO:0002131	biolink:related_to	65
RO:0002150	biolink:related_to	6
RO:0002151	biolink:related_to	3
RO:0002160	biolink:related_to	1
RO:0002170	biolink:related_to	1
RO:0002176	biolink:related_to	7
RO:0002202	biolink:related_to	116
RO:0002211	biolink:related_to	2
RO:0002212	biolink:related_to	1
RO:0002215	biolink:related_to	3
RO:0002219	biolink:related_to	10
RO:0002220	biolink:related_to	145
RO:0002229	biolink:related_to	2
RO:0002232	biolink:related_to	1
RO:0002233	biolink:related_to	39
RO:0002234	biolink:related_to	66
RO:0002297	biolink:related_to	5
RO:0002303	biolink:related_to	1
RO:0002314	biolink:related_to	1
RO:0002331	biolink:related_to	1
RO:0002351	biolink:related_to	6
RO:0002353	biolink:related_to	35
RO:0002354	biolink:related_to	78
RO:0002371	biolink:related_to	2
RO:0002376	biolink:related_to	1
RO:0002377	biolink:related_to	1
RO:0002411	biolink:related_to	2
RO:0002418	biolink:related_to	4
RO:0002427	biolink:related_to	13
RO:0002430	biolink:related_to	1
RO:0002473	biolink:related_to	231
RO:0002479	biolink:related_to	5
RO:0002495	biolink:related_to	13
RO:0002500	biolink:related_to	1
RO:0002507	biolink:related_to	46
RO:0002509	biolink:related_to	2
RO:0002608	biolink:related_to	16
inverseOf	biolink:inverseOf	45
rdfs:subClassOf	biolink:subclass_of	8287
subPropertyOf	biolink:subPropertyOf	214
type	biolink:type	46
