relation	predicate	count
:http://eagle-i.org/ont/app/1.0/inPropertyGroup	:http://eagle-i.org/ont/app/1.0/inPropertyGroup	1
BFO:0000050	biolink:part_of	1
BFO:0000051	biolink:has_part	19
IAO:0000114	biolink:related_to	2250
IAO:0000412	biolink:related_to	1954
OBI:0000293	biolink:has_participant	1
OBI:0000299	biolink:has_output	12
OBI:0000300	biolink:related_to	1
OBI:0000306	biolink:related_to	254
OBI:0000308	biolink:related_to	21
OBI:0000312	biolink:related_to	16
OBI:0000316	biolink:related_to	13
OBI:0000417	biolink:related_to	1
OBI:0000643	biolink:related_to	1
OBI:0000833	biolink:related_to	7
OBO:ERO_0000543	biolink:related_to	1
OBO:ERO_0000573	biolink:related_to	2
OBO:ERO_0000618	biolink:related_to	3
OBO:ERO_0001055	biolink:related_to	5
OBO:ERO_0001056	biolink:related_to	5
OBO:ERO_0001518	biolink:related_to	1
OBO:ERO_0001811	biolink:related_to	3
OBO:ERO_0001908	biolink:related_to	52
OIO:replacedBy	biolink:related_to	1
RO:0000052	biolink:related_to	1
RO:0000053	biolink:related_to	1
RO:0000057	biolink:has_participant	2
RO:0001000	biolink:derives_from	10
RO:0001900	biolink:related_to	1
owl:disjointWith	owl:disjointWith	2
owl:inverseOf	owl:inverseOf	29
rdfs:domain	rdfs:domain	115
rdfs:isDefinedBy	rdfs:isDefinedBy	2
rdfs:range	rdfs:range	141
rdfs:subClassOf	biolink:subclass_of	4060
rdfs:subPropertyOf	biolink:subclass_of	44
