relation	predicate	count
BFO:0000050	biolink:related_to	12
BFO:0000051	biolink:related_to	45
BFO:0000054	biolink:related_to	1
BFO:0000055	biolink:related_to	7
BFO:0000067	biolink:related_to	1
IAO:0000039	biolink:related_to	2
IAO:0000136	biolink:related_to	884
IAO:0000142	biolink:related_to	67
IAO:0000219	biolink:related_to	8
IAO:0000221	biolink:related_to	5
IAO:0000413	biolink:related_to	1
OBI:0000107	biolink:related_to	2
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:related_to	36
OBI:0000299	biolink:related_to	33
OBI:0000312	biolink:related_to	507
OBI:0000417	biolink:related_to	70
OBI:0000643	biolink:related_to	5
OBI:0000646	biolink:related_to	1
OBI:0000846	biolink:related_to	2
OBI:0001688	biolink:related_to	4
OBI:0001938	biolink:related_to	3
OBO:COB_0000016	biolink:related_to	1
RO:0000052	biolink:related_to	10
RO:0000053	biolink:related_to	2
RO:0000056	biolink:related_to	1
RO:0000057	biolink:related_to	9
RO:0000079	biolink:related_to	1
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	32
RO:0000087	biolink:related_to	97
RO:0001000	biolink:related_to	17
RO:0002215	biolink:related_to	7
RO:0002248	biolink:related_to	1
inverseOf	biolink:inverseOf	4
rdfs:subClassOf	biolink:subclass_of	6088
subPropertyOf	biolink:subPropertyOf	46
type	biolink:type	60
