relation	predicate	count
BFO:0000050	biolink:related_to	8788
BFO:0000051	biolink:related_to	13
BFO:0000066	biolink:related_to	8
OBO:so#member_of	biolink:related_to	1
RO:0000052	biolink:related_to	1
RO:0000053	biolink:related_to	4868
RO:0001025	biolink:related_to	3
RO:0002003	biolink:related_to	30
RO:0002005	biolink:related_to	17
RO:0002100	biolink:related_to	11040
RO:0002101	biolink:related_to	1527
RO:0002105	biolink:related_to	163
RO:0002106	biolink:related_to	5
RO:0002107	biolink:related_to	16
RO:0002114	biolink:related_to	6
RO:0002131	biolink:related_to	2421
RO:0002132	biolink:related_to	232
RO:0002134	biolink:related_to	292
RO:0002150	biolink:related_to	543
RO:0002160	biolink:related_to	2
RO:0002170	biolink:related_to	2
RO:0002177	biolink:related_to	31
RO:0002180	biolink:related_to	1
RO:0002202	biolink:related_to	2319
RO:0002203	biolink:related_to	477
RO:0002207	biolink:related_to	18
RO:0002211	biolink:related_to	92
RO:0002212	biolink:related_to	76
RO:0002213	biolink:related_to	74
RO:0002215	biolink:related_to	433
RO:0002216	biolink:related_to	270
RO:0002225	biolink:related_to	5
RO:0002292	biolink:related_to	557
RO:0002371	biolink:related_to	185
RO:0002473	biolink:related_to	8
RO:0002485	biolink:related_to	96
RO:0013001	biolink:related_to	2821
RO:0013002	biolink:related_to	18429
RO:0013003	biolink:related_to	14782
RO:0013004	biolink:related_to	40
RO:0013005	biolink:related_to	232
RO:0013006	biolink:related_to	77
RO:0013007	biolink:related_to	708
RO:0013008	biolink:related_to	786
RO:0013009	biolink:related_to	630
RO:0015011	biolink:related_to	2
inverseOf	biolink:inverseOf	27
rdfs:subClassOf	biolink:subclass_of	73726
subPropertyOf	biolink:subPropertyOf	110
