relation	predicate	count
BFO:0000050	biolink:part_of	3557
BFO:0000051	biolink:has_part	459
BFO:0000062	biolink:preceded_by	27
BFO:0000063	biolink:precedes	6
BFO:0000066	biolink:occurs_in	132
BFO:0000067	biolink:occurs_in	4
BSPO:0000096	biolink:coexists_with	4
BSPO:0000098	biolink:coexists_with	2
BSPO:0000099	biolink:coexists_with	2
BSPO:0000102	biolink:coexists_with	2
BSPO:0000107	biolink:located_in	3
BSPO:0000108	biolink:located_in	4
BSPO:0000120	biolink:located_in	12
BSPO:0000121	biolink:located_in	13
BSPO:0000122	biolink:located_in	3
BSPO:0000123	biolink:located_in	5
BSPO:0000126	biolink:located_in	19
BSPO:0001106	biolink:part_of	2
BSPO:0001107	biolink:located_in	2
OBO:GOREL_0002003	biolink:affects_localization_of	2
OBO:GOREL_0002004	biolink:increases_degradation_of	3
OBO:chebi#has_functional_parent	biolink:related_to	13
OBO:chebi#has_parent_hydride	biolink:related_to	4
OBO:chebi#is_conjugate_acid_of	biolink:related_to	33
OBO:chebi#is_conjugate_base_of	biolink:related_to	33
OBO:chebi#is_enantiomer_of	biolink:related_to	2
OBO:chebi#is_substituent_group_from	biolink:related_to	5
OBO:chebi#is_tautomer_of	biolink:related_to	8
OBO:cl#lacks_part	biolink:related_to	7
OBO:cl#lacks_plasma_membrane_part	biolink:related_to	172
OBO:po#derives_by_manipulation_from	biolink:related_to	2
OBO:uberon/core#anteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#channel_for	biolink:coexists_with	8
OBO:uberon/core#channels_from	biolink:coexists_with	5
OBO:uberon/core#channels_into	biolink:coexists_with	6
OBO:uberon/core#conduit_for	biolink:coexists_with	10
OBO:uberon/core#extends_fibers_into	biolink:coexists_with	33
OBO:uberon/core#filtered_through	biolink:coexists_with	2
OBO:uberon/core#indirectly_supplies	biolink:coexists_with	4
OBO:uberon/core#posteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#protects	biolink:related_to	3
OBO:uberon/core#proximally_connected_to	biolink:coexists_with	4
OBO:uberon/core#site_of	biolink:occurs_in	6
OBO:uberon/core#synapsed_by	biolink:coexists_with	1
RO:0000052	biolink:related_to	2
RO:0000053	biolink:related_to	50
RO:0000056	biolink:participates_in	36
RO:0000057	biolink:has_participant	23
RO:0000086	biolink:has_attribute	37
RO:0000087	biolink:has_attribute	104
RO:0001015	biolink:location_of	5
RO:0001019	biolink:has_part	1
RO:0001025	biolink:located_in	43
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	6
RO:0002007	biolink:part_of	32
RO:0002082	biolink:temporally_related_to	6
RO:0002087	biolink:preceded_by	1
RO:0002100	biolink:overlaps	15
RO:0002104	biolink:has_part	60
RO:0002131	biolink:overlaps	49
RO:0002134	biolink:related_to	11
RO:0002150	biolink:related_to	35
RO:0002160	biolink:in_taxon	241
RO:0002162	biolink:in_taxon	2
RO:0002170	biolink:related_to	41
RO:0002176	biolink:related_to	52
