relation	predicate	count
BFO:0000050	biolink:related_to	5026
BFO:0000051	biolink:related_to	460
BFO:0000054	biolink:related_to	1
BFO:0000062	biolink:related_to	10
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	146
BFO:0000067	biolink:related_to	3
BSPO:0000096	biolink:related_to	8
BSPO:0000097	biolink:related_to	3
BSPO:0000098	biolink:related_to	2
BSPO:0000099	biolink:related_to	4
BSPO:0000100	biolink:related_to	2
BSPO:0000102	biolink:related_to	2
BSPO:0000104	biolink:related_to	1
BSPO:0000107	biolink:related_to	3
BSPO:0000108	biolink:related_to	3
BSPO:0000110	biolink:related_to	1
BSPO:0000113	biolink:related_to	1
BSPO:0000120	biolink:related_to	55
BSPO:0000121	biolink:related_to	52
BSPO:0000122	biolink:related_to	1
BSPO:0000123	biolink:related_to	4
BSPO:0000124	biolink:related_to	2
BSPO:0000125	biolink:related_to	2
BSPO:0000126	biolink:related_to	49
BSPO:0001102	biolink:related_to	2
BSPO:0001106	biolink:related_to	3
BSPO:0001107	biolink:related_to	3
BSPO:0001108	biolink:related_to	1
BSPO:0001113	biolink:related_to	5
BSPO:0001115	biolink:related_to	4
BSPO:0005001	biolink:related_to	6
BSPO:0015001	biolink:related_to	4
BSPO:0015002	biolink:related_to	40
BSPO:0015005	biolink:related_to	4
BSPO:0015006	biolink:related_to	1
BSPO:0015007	biolink:related_to	3
BSPO:0015008	biolink:related_to	7
BSPO:0015101	biolink:related_to	3
BSPO:0020001	biolink:related_to	7
CL:4030045	biolink:related_to	3
CL:4030046	biolink:related_to	99
IAO:0000136	biolink:related_to	2
OBI:0000293	biolink:related_to	2
OBI:0000295	biolink:related_to	2
OBI:0000299	biolink:related_to	2
OBI:0000312	biolink:related_to	2
OBI:0000417	biolink:related_to	1
OBO:GOREL_0002003	biolink:related_to	2
OBO:GOREL_0002004	biolink:related_to	3
OBO:chebi#has_functional_parent	biolink:related_to	13
OBO:chebi#has_parent_hydride	biolink:related_to	4
OBO:chebi#is_conjugate_acid_of	biolink:related_to	29
OBO:chebi#is_conjugate_base_of	biolink:related_to	29
OBO:chebi#is_enantiomer_of	biolink:related_to	2
OBO:chebi#is_substituent_group_from	biolink:related_to	5
OBO:chebi#is_tautomer_of	biolink:related_to	4
OBO:pr#has_gene_template	biolink:related_to	1
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	22
OBO:uberon/core#channel_for	biolink:related_to	20
OBO:uberon/core#channels_from	biolink:related_to	13
OBO:uberon/core#channels_into	biolink:related_to	12
OBO:uberon/core#distally_connected_to	biolink:related_to	20
OBO:uberon/core#extends_fibers_into	biolink:related_to	43
OBO:uberon/core#filtered_through	biolink:related_to	2
OBO:uberon/core#indirectly_supplies	biolink:related_to	4
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	3
OBO:uberon/core#proximally_connected_to	biolink:related_to	47
OBO:uberon/core#sexually_homologous_to	biolink:related_to	3
OBO:uberon/core#site_of	biolink:related_to	6
OBO:uberon/core#subdivision_of	biolink:related_to	5
RO:0000052	biolink:related_to	642
RO:0000053	biolink:related_to	49
RO:0000056	biolink:related_to	6
RO:0000057	biolink:related_to	8
RO:0000086	biolink:related_to	47
RO:0000087	biolink:related_to	93
RO:0001015	biolink:related_to	7
RO:0001019	biolink:related_to	2
RO:0001025	biolink:related_to	54
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	12
RO:0002007	biolink:related_to	21
RO:0002082	biolink:related_to	8
RO:0002087	biolink:related_to	2
RO:0002100	biolink:related_to	17
RO:0002103	biolink:related_to	1
RO:0002104	biolink:related_to	10
RO:0002120	biolink:related_to	1
RO:0002131	biolink:related_to	110
RO:0002134	biolink:related_to	24
RO:0002150	biolink:related_to	39
RO:0002160	biolink:related_to	338
RO:0002162	biolink:related_to	3
RO:0002170	biolink:related_to	80
RO:0002176	biolink:related_to	204
RO:0002177	biolink:related_to	3
RO:0002178	biolink:related_to	48
RO:0002179	biolink:related_to	46
RO:0002202	biolink:related_to	737
RO:0002203	biolink:related_to	7
RO:0002207	biolink:related_to	1
RO:0002211	biolink:related_to	652
RO:0002212	biolink:related_to	546
RO:0002213	biolink:related_to	544
RO:0002215	biolink:related_to	152
RO:0002216	biolink:related_to	37
RO:0002219	biolink:related_to	20
RO:0002220	biolink:related_to	103
RO:0002221	biolink:related_to	23
RO:0002223	biolink:related_to	1
RO:0002224	biolink:related_to	6
RO:0002225	biolink:related_to	1
RO:0002226	biolink:related_to	4
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	4
RO:0002231	biolink:related_to	10
RO:0002232	biolink:related_to	8
RO:0002233	biolink:related_to	81
RO:0002234	biolink:related_to	4
RO:0002254	biolink:related_to	70
RO:0002256	biolink:related_to	17
RO:0002285	biolink:related_to	5
RO:0002295	biolink:related_to	1
RO:0002296	biolink:related_to	339
RO:0002297	biolink:related_to	105
RO:0002298	biolink:related_to	218
RO:0002299	biolink:related_to	42
RO:0002314	biolink:related_to	129
RO:0002315	biolink:related_to	117
RO:0002322	biolink:related_to	1
RO:0002328	biolink:related_to	3
RO:0002338	biolink:related_to	16
RO:0002339	biolink:related_to	62
RO:0002341	biolink:related_to	18
RO:0002342	biolink:related_to	26
RO:0002343	biolink:related_to	16
RO:0002344	biolink:related_to	9
RO:0002351	biolink:related_to	11
RO:0002353	biolink:related_to	9
RO:0002371	biolink:related_to	49
RO:0002372	biolink:related_to	14
RO:0002373	biolink:related_to	16
RO:0002374	biolink:related_to	20
RO:0002376	biolink:related_to	17
RO:0002380	biolink:related_to	33
RO:0002385	biolink:related_to	11
