relation	predicate	count
BFO:0000050	biolink:related_to	738
BFO:0000051	biolink:related_to	354
BFO:0000066	biolink:related_to	58
IAO:0000136	biolink:related_to	1
OBO:GOREL_0000001	biolink:related_to	2
OBO:GOREL_0000032	biolink:related_to	1
OBO:GOREL_0000501	biolink:related_to	2
OBO:chebi#has_functional_parent	biolink:related_to	212
OBO:chebi#has_parent_hydride	biolink:related_to	46
OBO:chebi#is_conjugate_acid_of	biolink:related_to	465
OBO:chebi#is_conjugate_base_of	biolink:related_to	465
OBO:chebi#is_enantiomer_of	biolink:related_to	186
OBO:chebi#is_substituent_group_from	biolink:related_to	26
OBO:chebi#is_tautomer_of	biolink:related_to	194
OBO:fypo#has_output	biolink:related_to	64
OBO:fypo#output_of	biolink:related_to	92
OBO:pr#has_gene_template	biolink:related_to	1
OBO:so#adjacent_to	biolink:related_to	2
OBO:so#derives_from	biolink:related_to	14
OBO:so#has_part	biolink:related_to	2
OBO:so#has_quality	biolink:related_to	5
OBO:so#member_of	biolink:related_to	2
OBO:so#overlaps	biolink:related_to	2
OBO:so#part_of	biolink:related_to	14
RO:0000052	biolink:related_to	1
RO:0000053	biolink:related_to	7
RO:0000086	biolink:related_to	1
RO:0000087	biolink:related_to	1852
RO:0002092	biolink:related_to	15
RO:0002093	biolink:related_to	1
RO:0002211	biolink:related_to	666
RO:0002212	biolink:related_to	563
RO:0002213	biolink:related_to	575
RO:0002215	biolink:related_to	6
RO:0002353	biolink:related_to	6
RO:0002573	biolink:related_to	1
RO:0015007	biolink:related_to	22
RO:0015008	biolink:related_to	22
RO:0015011	biolink:related_to	3
RO:0015012	biolink:related_to	8
inverseOf	biolink:inverseOf	33
rdfs:subClassOf	biolink:subclass_of	26234
subPropertyOf	biolink:subPropertyOf	154
type	biolink:type	17
