relation	predicate	count
BFO:0000050	biolink:part_of	934
BFO:0000051	biolink:has_part	398
BFO:0000054	biolink:related_to	3
BFO:0000062	biolink:preceded_by	3
BFO:0000063	biolink:precedes	1
BFO:0000066	biolink:occurs_in	28
BFO:0000067	biolink:occurs_in	24
ENVO:01001307	biolink:coexists_with	21
ENVO:02500016	biolink:related_to	1
ENVO:02500020	biolink:related_to	1
ENVO:2000036	biolink:related_to	2
OBO:UBREL_0000001	biolink:related_to	3008
OBO:envo#has_increased_levels_of	biolink:related_to	38
OBO:gaz#overlapped_by	biolink:related_to	133
OBO:gaz#proper_partof	biolink:related_to	153
RO:0000052	biolink:related_to	31
RO:0000053	biolink:related_to	1
RO:0000056	biolink:participates_in	29
RO:0000057	biolink:has_participant	127
RO:0000085	biolink:related_to	6
RO:0000086	biolink:has_attribute	203
RO:0000087	biolink:has_attribute	11
RO:0000091	biolink:related_to	1
RO:0001000	biolink:derives_from	47
RO:0001001	biolink:derives_into	2
RO:0001015	biolink:location_of	6
RO:0001018	biolink:part_of	3
RO:0001019	biolink:has_part	3
RO:0001025	biolink:located_in	599053
RO:0002007	biolink:part_of	1
RO:0002084	biolink:related_to	1
RO:0002088	biolink:related_to	1
RO:0002090	biolink:precedes	6942
RO:0002091	biolink:related_to	1
RO:0002131	biolink:overlaps	77
RO:0002150	biolink:related_to	6
RO:0002151	biolink:related_to	96446
RO:0002160	biolink:in_taxon	1
RO:0002176	biolink:related_to	12
RO:0002202	biolink:develops_from	123
RO:0002211	biolink:regulates	2
RO:0002212	biolink:negatively_regulates	1
RO:0002219	biolink:coexists_with	2767
RO:0002220	biolink:coexists_with	143
RO:0002229	biolink:temporally_related_to	2
RO:0002232	biolink:occurs_in	1
RO:0002233	biolink:has_input	38
RO:0002234	biolink:has_output	61
RO:0002297	biolink:has_output	5
RO:0002303	biolink:located_in	1
RO:0002351	biolink:has_part	2
RO:0002353	biolink:has_output	35
RO:0002354	biolink:has_output	69
RO:0002371	biolink:related_to	2
RO:0002376	biolink:part_of	81178
RO:0002377	biolink:related_to	3254
RO:0002378	biolink:related_to	97
RO:0002379	biolink:related_to	396
RO:0002411	biolink:precedes	2
RO:0002418	biolink:related_to	4
RO:0002427	biolink:related_to	12
RO:0002430	biolink:related_to	1
RO:0002473	biolink:has_part	213
RO:0002479	biolink:related_to	5
RO:0002495	biolink:related_to	17
RO:0002500	biolink:capable_of	1
RO:0002507	biolink:causes	40
RO:0002509	biolink:causes	2
RO:0002608	biolink:caused_by	11
inverseOf	biolink:inverseOf	1
rdfs:subClassOf	biolink:subclass_of	17516
subPropertyOf	biolink:subPropertyOf	123
type	biolink:type	94590
