relation	predicate	count
BFO:0000050	biolink:related_to	1
BFO:0000051	biolink:related_to	5
BFO:0000054	biolink:related_to	1
BFO:0000062	biolink:related_to	2
BFO:0000063	biolink:related_to	2
BFO:0000067	biolink:related_to	1
GENEPIO:0001739	biolink:related_to	20
IAO:0000039	biolink:related_to	5
IAO:0000136	biolink:related_to	71
IAO:0000142	biolink:related_to	14
IAO:0000219	biolink:related_to	1
OBI:0001927	biolink:related_to	32
RO:0000052	biolink:related_to	10
RO:0000057	biolink:related_to	1
RO:0000086	biolink:related_to	2
RO:0000087	biolink:related_to	2
RO:0001000	biolink:related_to	1
RO:0001015	biolink:related_to	1
RO:0001025	biolink:related_to	773
RO:0002001	biolink:related_to	4
RO:0002083	biolink:related_to	13
RO:0002087	biolink:related_to	6
RO:0002180	biolink:related_to	2
RO:0002233	biolink:related_to	1
RO:0002234	biolink:related_to	2
RO:0002350	biolink:related_to	15
RO:0002351	biolink:related_to	8
RO:0002353	biolink:related_to	2
RO:0002404	biolink:related_to	1
RO:0002451	biolink:related_to	1
RO:0003001	biolink:related_to	3
inverseOf	biolink:inverseOf	9
rdfs:subClassOf	biolink:subclass_of	8452
subPropertyOf	biolink:subPropertyOf	16
type	biolink:type	240
