relation	predicate	count
BFO:0000050	biolink:related_to	6
BFO:0000051	biolink:related_to	5
GENO:0000207	biolink:related_to	11
GENO:0000231	biolink:related_to	1
GENO:0000239	biolink:related_to	3
GENO:0000248	biolink:related_to	1
GENO:0000251	biolink:related_to	1
GENO:0000382	biolink:related_to	6
GENO:0000385	biolink:related_to	1
GENO:0000408	biolink:related_to	1
GENO:0000443	biolink:related_to	1
GENO:0000447	biolink:related_to	1
GENO:0000580	biolink:related_to	2
GENO:0000641	biolink:related_to	1
GENO:0000650	biolink:related_to	1
GENO:0000683	biolink:related_to	5
GENO:0000726	biolink:related_to	3
GENO:0000783	biolink:related_to	3
GENO:0000784	biolink:related_to	1
GENO:0000903	biolink:related_to	2
GENO:0000968	biolink:related_to	3
IAO:0000219	biolink:related_to	4
OBAN:association_has_object	biolink:related_to	1
RO:0000052	biolink:related_to	1
RO:0000091	biolink:related_to	1
RO:0001000	biolink:related_to	2
RO:0002162	biolink:related_to	5
RO:0002351	biolink:related_to	8
RO:0002525	biolink:related_to	2
inverseOf	biolink:inverseOf	18
rdfs:subClassOf	biolink:subclass_of	389
subPropertyOf	biolink:subPropertyOf	88
type	biolink:type	20
