relation	predicate	count
BFO:0000050	biolink:related_to	5446
BFO:0000051	biolink:related_to	666
BFO:0000062	biolink:related_to	9
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	43
BFO:0000067	biolink:related_to	10
BSPO:0000096	biolink:related_to	8
BSPO:0000097	biolink:related_to	2
BSPO:0000098	biolink:related_to	8
BSPO:0000099	biolink:related_to	4
BSPO:0000100	biolink:related_to	3
BSPO:0000102	biolink:related_to	5
BSPO:0000107	biolink:related_to	4
BSPO:0000108	biolink:related_to	7
BSPO:0000120	biolink:related_to	61
BSPO:0000121	biolink:related_to	59
BSPO:0000122	biolink:related_to	3
BSPO:0000123	biolink:related_to	6
BSPO:0000124	biolink:related_to	2
BSPO:0000125	biolink:related_to	2
BSPO:0000126	biolink:related_to	72
BSPO:0001101	biolink:related_to	3
BSPO:0001106	biolink:related_to	6
BSPO:0001107	biolink:related_to	6
BSPO:0001108	biolink:related_to	3
BSPO:0001113	biolink:related_to	6
BSPO:0001115	biolink:related_to	4
BSPO:0005001	biolink:related_to	12
BSPO:0015014	biolink:related_to	3
BSPO:0015101	biolink:related_to	4
BSPO:0015102	biolink:related_to	3
BSPO:0020001	biolink:related_to	7
CL:4030044	biolink:related_to	15
CL:4030045	biolink:related_to	10
CL:4030046	biolink:related_to	397
OBO:chebi#has_functional_parent	biolink:related_to	160
OBO:chebi#has_parent_hydride	biolink:related_to	31
OBO:chebi#is_conjugate_acid_of	biolink:related_to	328
OBO:chebi#is_conjugate_base_of	biolink:related_to	328
OBO:chebi#is_enantiomer_of	biolink:related_to	84
OBO:chebi#is_substituent_group_from	biolink:related_to	20
OBO:chebi#is_tautomer_of	biolink:related_to	124
OBO:nbo#by_means	biolink:related_to	5
OBO:nbo#has_participant	biolink:related_to	4
OBO:nbo#in_response_to	biolink:related_to	2
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	10
OBO:uberon/core#channel_for	biolink:related_to	26
OBO:uberon/core#channels_from	biolink:related_to	15
OBO:uberon/core#channels_into	biolink:related_to	14
OBO:uberon/core#distally_connected_to	biolink:related_to	31
OBO:uberon/core#extends_fibers_into	biolink:related_to	73
OBO:uberon/core#filtered_through	biolink:related_to	3
OBO:uberon/core#in_innermost_side_of	biolink:related_to	1
OBO:uberon/core#in_outermost_side_of	biolink:related_to	1
OBO:uberon/core#indirectly_supplies	biolink:related_to	4
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	4
OBO:uberon/core#proximally_connected_to	biolink:related_to	50
