relation	predicate	count
BFO:0000050	biolink:part_of	45
BFO:0000051	biolink:has_part	12
BSPO:0000120	biolink:located_in	1
BSPO:0000121	biolink:located_in	1
BSPO:0000123	biolink:located_in	1
BSPO:0000126	biolink:located_in	2
IAO:0000136	biolink:related_to	2
IDO:0000664	biolink:contributes_to	2
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:has_participant	3
OBI:0000299	biolink:has_output	3
OBI:0000312	biolink:related_to	1
OBI:0000417	biolink:related_to	1
OBO:HSO_0000242	biolink:related_to	1
OBO:HSO_0000243	biolink:related_to	2
OBO:HSO_0000295	biolink:related_to	2
OBO:uberon/core#conduit_for	biolink:coexists_with	1
OBO:uberon/core#protects	biolink:related_to	1
RO:0000087	biolink:has_attribute	1
RO:0001025	biolink:located_in	4
RO:0002007	biolink:part_of	2
RO:0002202	biolink:develops_from	3
RO:0002351	biolink:has_part	4
RO:0002433	biolink:overlaps	12
RO:0002473	biolink:has_part	3
RO:0002494	biolink:related_to	2
RO:0003000	biolink:produces	5
RO:0003001	biolink:produced_by	4
inverseOf	biolink:inverseOf	22
rdfs:subClassOf	biolink:subclass_of	490
subPropertyOf	biolink:subPropertyOf	65
type	biolink:type	192
