relation	predicate	count
BFO:0000050	biolink:part_of	2
BFO:0000051	biolink:has_part	30
IAO:0000039	biolink:has_unit	1
IAO:0000136	biolink:related_to	12
IAO:0000219	biolink:related_to	2
IAO:0000221	biolink:related_to	1
OBI:0000293	biolink:has_participant	6
OBI:0000299	biolink:has_output	8
OBI:0000312	biolink:related_to	3
RO:0000057	biolink:has_participant	3
RO:0000059	biolink:related_to	1
inverseOf	biolink:inverseOf	18
rdfs:subClassOf	biolink:subclass_of	265
subPropertyOf	biolink:subPropertyOf	26
type	biolink:type	20
