relation	predicate	count
BFO:0000050	biolink:related_to	2590
BFO:0000051	biolink:related_to	2593
BFO:0000083	biolink:related_to	1
BFO:0000162	biolink:related_to	1054
IDO:0100541	biolink:related_to	62
OBO:ICEO_0000019	biolink:related_to	3
OBO:ICEO_0000020	biolink:related_to	570
OBO:ICEO_0000023	biolink:related_to	1
OBO:ICEO_0000032	biolink:related_to	8
OBO:ICEO_0000051	biolink:related_to	24866
OBO:ICEO_0000350	biolink:related_to	2
OGG:0000000016	biolink:related_to	394
RO:0000056	biolink:related_to	630
RO:0000087	biolink:related_to	7428
inverseOf	biolink:inverseOf	7
rdfs:subClassOf	biolink:subclass_of	30899
subPropertyOf	biolink:subPropertyOf	30
