relation	predicate	count
BFO:0000051	biolink:has_part	2
BFO:0000055	biolink:has_part	1
BFO:0000066	biolink:occurs_in	1
IDO:0000664	biolink:contributes_to	2
RO:0000052	biolink:related_to	30
RO:0000056	biolink:participates_in	3
RO:0000087	biolink:has_attribute	29
RO:0000091	biolink:related_to	20
RO:0002212	biolink:negatively_regulates	2
RO:0002234	biolink:has_output	1
RO:0002297	biolink:has_output	1
inverseOf	biolink:inverseOf	15
rdfs:subClassOf	biolink:subclass_of	544
subPropertyOf	biolink:subPropertyOf	15
type	biolink:type	18
