relation	predicate	count
BFO:0000050	biolink:part_of	8
BFO:0000051	biolink:has_part	21
IAO:0000136	biolink:related_to	4
IAO:0000219	biolink:related_to	2
OBI:0000293	biolink:has_participant	2
OBI:0000299	biolink:has_output	4
OBI:0000312	biolink:related_to	1
OBI:0000417	biolink:related_to	1
OBI:0001938	biolink:related_to	9
RO:0000052	biolink:related_to	1
RO:0000087	biolink:has_attribute	2
inverseOf	biolink:inverseOf	12
rdfs:subClassOf	biolink:subclass_of	169
subPropertyOf	biolink:subPropertyOf	16
