relation	predicate	count
BFO:0000050	biolink:related_to	277
BFO:0000051	biolink:related_to	137
BSPO:0000096	biolink:related_to	23
BSPO:0000097	biolink:related_to	4
BSPO:0000098	biolink:related_to	2
BSPO:0000099	biolink:related_to	46
BSPO:0000100	biolink:related_to	1
BSPO:0000102	biolink:related_to	3
BSPO:0000110	biolink:related_to	1
BSPO:0000113	biolink:related_to	3
OBO:AISM_0000011	biolink:related_to	2
OBO:AISM_0000012	biolink:related_to	1
OBO:AISM_0000078	biolink:related_to	52
OBO:AISM_0000079	biolink:related_to	58
OBO:bspo#parallel_to	biolink:related_to	8
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	22
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	20
RO:0000053	biolink:related_to	60
RO:0001018	biolink:related_to	3
RO:0001019	biolink:related_to	1
RO:0002008	biolink:related_to	19
RO:0002131	biolink:related_to	2
RO:0002134	biolink:related_to	4
RO:0002150	biolink:related_to	233
RO:0002176	biolink:related_to	1
RO:0002219	biolink:related_to	3
RO:0002220	biolink:related_to	80
RO:0002221	biolink:related_to	2
RO:0002371	biolink:related_to	149
inverseOf	biolink:inverseOf	10
rdfs:subClassOf	biolink:subclass_of	832
subPropertyOf	biolink:subPropertyOf	32
