relation	predicate	count
BFO:0000050	biolink:related_to	1319
BFO:0000051	biolink:related_to	454
BFO:0000062	biolink:related_to	9
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	3
BFO:0000067	biolink:related_to	5
CL:4030044	biolink:related_to	3
CL:4030045	biolink:related_to	6
CL:4030046	biolink:related_to	127
FOODON:00001563	biolink:related_to	1
FOODON:00002420	biolink:related_to	1
OBI:0000293	biolink:related_to	7
OBI:0000299	biolink:related_to	4
OBO:COB_0000081	biolink:related_to	1
OBO:MAXO_0000521	biolink:related_to	20
OBO:MAXO_0000864	biolink:related_to	15
OBO:MAXO_0001015	biolink:related_to	12
OBO:MAXO_0001027	biolink:related_to	76
OBO:chebi#has_functional_parent	biolink:related_to	65
OBO:chebi#has_parent_hydride	biolink:related_to	16
OBO:chebi#is_conjugate_acid_of	biolink:related_to	177
OBO:chebi#is_conjugate_base_of	biolink:related_to	177
OBO:chebi#is_enantiomer_of	biolink:related_to	46
OBO:chebi#is_substituent_group_from	biolink:related_to	13
OBO:chebi#is_tautomer_of	biolink:related_to	52
OBO:pr#has_gene_template	biolink:related_to	1
OBO:pr#lacks_part	biolink:related_to	2
OBO:so#derives_from	biolink:related_to	4
OBO:so#member_of	biolink:related_to	2
OBO:so#overlaps	biolink:related_to	1
OBO:so#part_of	biolink:related_to	6
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	22
OBO:uberon/core#channel_for	biolink:related_to	22
OBO:uberon/core#channels_from	biolink:related_to	12
OBO:uberon/core#channels_into	biolink:related_to	10
OBO:uberon/core#distally_connected_to	biolink:related_to	7
OBO:uberon/core#extends_fibers_into	biolink:related_to	8
OBO:uberon/core#filtered_through	biolink:related_to	2
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	3
OBO:uberon/core#proximally_connected_to	biolink:related_to	18
OBO:uberon/core#sexually_homologous_to	biolink:related_to	1
OBO:uberon/core#site_of	biolink:related_to	5
OBO:uberon/core#subdivision_of	biolink:related_to	5
OBO:uberon/core#trunk_part_of	biolink:related_to	1
RO:0000053	biolink:related_to	29
RO:0000056	biolink:related_to	8
RO:0000057	biolink:related_to	2
RO:0000086	biolink:related_to	36
RO:0000087	biolink:related_to	482
RO:0001000	biolink:related_to	62
RO:0001015	biolink:related_to	7
RO:0001025	biolink:related_to	35
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	3
RO:0002007	biolink:related_to	15
RO:0002082	biolink:related_to	6
RO:0002087	biolink:related_to	1
RO:0002100	biolink:related_to	3
RO:0002103	biolink:related_to	1
RO:0002104	biolink:related_to	39
RO:0002131	biolink:related_to	51
RO:0002134	biolink:related_to	2
RO:0002150	biolink:related_to	46
RO:0002160	biolink:related_to	199
RO:0002162	biolink:related_to	28
RO:0002170	biolink:related_to	19
RO:0002176	biolink:related_to	54
RO:0002178	biolink:related_to	3
RO:0002179	biolink:related_to	1
RO:0002202	biolink:related_to	451
RO:0002203	biolink:related_to	4
RO:0002211	biolink:related_to	59
RO:0002212	biolink:related_to	13
RO:0002213	biolink:related_to	23
RO:0002215	biolink:related_to	133
RO:0002216	biolink:related_to	30
RO:0002219	biolink:related_to	14
RO:0002220	biolink:related_to	62
RO:0002221	biolink:related_to	13
RO:0002223	biolink:related_to	1
RO:0002226	biolink:related_to	1
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	1
RO:0002233	biolink:related_to	111
RO:0002254	biolink:related_to	55
RO:0002256	biolink:related_to	16
RO:0002285	biolink:related_to	3
RO:0002328	biolink:related_to	4
RO:0002350	biolink:related_to	28
RO:0002351	biolink:related_to	8
RO:0002353	biolink:related_to	17
RO:0002371	biolink:related_to	13
RO:0002374	biolink:related_to	1
RO:0002380	biolink:related_to	2
RO:0002385	biolink:related_to	10
RO:0002387	biolink:related_to	117
RO:0002433	biolink:related_to	127
RO:0002473	biolink:related_to	86
RO:0002488	biolink:related_to	6
RO:0002491	biolink:related_to	5
RO:0002492	biolink:related_to	26
RO:0002493	biolink:related_to	4
RO:0002494	biolink:related_to	11
RO:0002495	biolink:related_to	40
RO:0002496	biolink:related_to	1
RO:0002497	biolink:related_to	1
RO:0002551	biolink:related_to	34
RO:0002570	biolink:related_to	3
RO:0002572	biolink:related_to	11
RO:0002576	biolink:related_to	18
RO:0003000	biolink:related_to	16
RO:0003001	biolink:related_to	23
RO:0015011	biolink:related_to	2
RO:0015012	biolink:related_to	2
RO:0015015	biolink:related_to	11
RO:0015016	biolink:related_to	2
inverseOf	biolink:inverseOf	36
rdfs:subClassOf	biolink:subclass_of	10378
subPropertyOf	biolink:subPropertyOf	165
