relation	predicate	count
BFO:0000050	biolink:related_to	6
BFO:0000051	biolink:related_to	52
IAO:0000039	biolink:related_to	1
IAO:0000136	biolink:related_to	19
IAO:0000219	biolink:related_to	1
IAO:0000221	biolink:related_to	1
OBI:0000293	biolink:related_to	6
OBI:0000299	biolink:related_to	4
OBI:0000312	biolink:related_to	1
RO:0000057	biolink:related_to	3
http://www.ebi.ac.uk/efo/swo/SWO_0000741	biolink:related_to	2
http://www.ebi.ac.uk/swo/SWO_0040005	biolink:related_to	1
http://www.ebi.ac.uk/swo/SWO_9001002	biolink:related_to	481
http://www.ebi.ac.uk/swo/has_license	biolink:related_to	1
http://www.ebi.ac.uk/swo/license/SWO_1000048	biolink:related_to	34
http://www.w3.org/ns/prov#specializationOf	biolink:related_to	1
http://www.w3.org/ns/prov#wasDerivedFrom	biolink:related_to	1
http://www.w3.org/ns/prov#wasRevisionOf	biolink:related_to	1
inverseOf	biolink:inverseOf	33
rdfs:subClassOf	biolink:subclass_of	1004
subPropertyOf	biolink:subPropertyOf	84
type	biolink:type	20
