relation	predicate	count
BFO:0000050	biolink:part_of	44
BFO:0000051	biolink:has_part	1
MFMO:0000001	biolink:related_to	90
MFMO:0000003	biolink:related_to	22
MFMO:0000124	biolink:related_to	1
MFMO:0000142	biolink:related_to	4
MFMO:0000143	biolink:related_to	2
MFMO:0000144	biolink:related_to	1
OBO:attaches_to	biolink:related_to	2
OBO:mfmo.owl#attached_to_dorsal_surface_of	biolink:related_to	1
OBO:mfmo.owl#attached_to_lateral_surface_of	biolink:related_to	3
OBO:mfmo.owl#attached_to_medial_surface_of	biolink:related_to	2
OBO:mfmo.owl#attached_to_ventral_surface_of	biolink:related_to	1
OBO:mfmo.owl#deep_to	biolink:related_to	1
OBO:mfmo.owl#superficial_to	biolink:related_to	5
RO:0002005	biolink:related_to	1
RO:0002131	biolink:overlaps	1
RO:0002163	biolink:related_to	2
RO:0002202	biolink:develops_from	8
RO:0002221	biolink:coexists_with	1
RO:0002371	biolink:related_to	1
RO:0002524	biolink:has_part	1
inverseOf	biolink:inverseOf	113
rdfs:subClassOf	biolink:subclass_of	291
subPropertyOf	biolink:subPropertyOf	673
type	biolink:type	28
