relation	predicate	count
BFO:0000052	biolink:related_to	1
BFO:0000054	biolink:related_to	1
BFO:0000055	biolink:has_part	2
BFO:0000107	biolink:related_to	1
BFO:0000112	biolink:related_to	1
BFO:0000117	biolink:has_part	52
BFO:0000132	biolink:related_to	14
BFO:0000167	biolink:has_participant	3
BFO:0000176	biolink:related_to	1
MFOEM:000008	biolink:related_to	1
OBO:MF#hasAgent	biolink:related_to	1
OBO:MF#hasPart	biolink:related_to	4
OBO:MF#inheresIn	biolink:related_to	1
inverseOf	biolink:inverseOf	1
rdfs:subClassOf	biolink:subclass_of	661
subPropertyOf	biolink:subPropertyOf	2
type	biolink:type	19
