relation	predicate	count
CDAO:0000142	biolink:related_to	2
CDAO:0000153	biolink:related_to	1
CDAO:0000155	biolink:related_to	1
CDAO:0000168	biolink:related_to	1
CDAO:0000170	biolink:related_to	1
CDAO:0000174	biolink:related_to	1
CDAO:0000176	biolink:related_to	1
CDAO:0000178	biolink:related_to	2
CDAO:0000188	biolink:related_to	1
CDAO:0000190	biolink:related_to	2
CDAO:0000193	biolink:related_to	1
CDAO:0000194	biolink:related_to	2
CDAO:0000195	biolink:related_to	1
CDAO:0000199	biolink:related_to	1
CDAO:0000202	biolink:related_to	1
CDAO:0000207	biolink:related_to	1
CDAO:0000208	biolink:related_to	1
http://www.w3.org/ns/prov#specializationOf	biolink:related_to	1
http://www.w3.org/ns/prov#wasRevisionOf	biolink:related_to	1
inverseOf	biolink:inverseOf	13
rdfs:subClassOf	biolink:subclass_of	221
subPropertyOf	biolink:subPropertyOf	87
type	biolink:type	45
