relation	predicate	count
BFO:0000050	biolink:part_of	23
BFO:0000051	biolink:has_part	1633
BFO:0000054	biolink:related_to	2
BFO:0000055	biolink:has_part	4
BSPO:0000097	biolink:coexists_with	1
BSPO:0000098	biolink:coexists_with	1
BSPO:0000099	biolink:coexists_with	1
BSPO:0000107	biolink:located_in	1
BSPO:0000110	biolink:coexists_with	1
BSPO:0000113	biolink:coexists_with	4
MICRO:0000001	biolink:related_to	15
MICRO:0000029	biolink:related_to	55
MICRO:0000032	biolink:related_to	17
MICRO:0000034	biolink:related_to	7
MICRO:0000035	biolink:related_to	4
MICRO:0000065	biolink:related_to	41
MICRO:0000105	biolink:related_to	13
MICRO:0000107	biolink:related_to	22
MICRO:0000108	biolink:related_to	4
MICRO:0000110	biolink:related_to	3
MICRO:0000135	biolink:related_to	5
MICRO:0000469	biolink:related_to	8
MICRO:0000470	biolink:related_to	3
MICRO:0000472	biolink:related_to	106
MICRO:0000473	biolink:related_to	1
MICRO:0000475	biolink:related_to	2
MICRO:0000477	biolink:related_to	12
MICRO:0000940	biolink:related_to	11
MICRO:0001197	biolink:related_to	149
MICRO:0001198	biolink:related_to	126
MICRO:0001199	biolink:related_to	505
MICRO:0001200	biolink:related_to	14
MICRO:0001203	biolink:related_to	1
MICRO:0001206	biolink:related_to	132
MICRO:0001208	biolink:related_to	497
MICRO:0001213	biolink:related_to	9
MICRO:0001215	biolink:related_to	51
MICRO:0001217	biolink:related_to	5
MICRO:0001218	biolink:related_to	4
MICRO:0001219	biolink:related_to	11
MICRO:0001221	biolink:related_to	5
MICRO:0001244	biolink:related_to	9712
MICRO:0001245	biolink:related_to	2
MICRO:0001288	biolink:related_to	842
MICRO:0001301	biolink:related_to	819
MICRO:0001302	biolink:related_to	831
MICRO:0001371	biolink:related_to	11
MICRO:0001391	biolink:related_to	32
MICRO:0001431	biolink:related_to	18
MICRO:0001460	biolink:related_to	18
MICRO:0001461	biolink:related_to	2
MICRO:0001462	biolink:related_to	10
MICRO:0001463	biolink:related_to	6
MICRO:0001465	biolink:related_to	11
MICRO:0001466	biolink:related_to	7
MICRO:0001467	biolink:related_to	30
MICRO:0001468	biolink:related_to	11
MICRO:0001502	biolink:related_to	30
MICRO:0001521	biolink:related_to	30
MICRO:0001522	biolink:related_to	30
MICRO:0001523	biolink:related_to	30
MICRO:0001524	biolink:related_to	30
MICRO:0001550	biolink:related_to	1
OBI:0000293	biolink:has_participant	3
OBI:0000299	biolink:has_output	3
OBI:0000312	biolink:related_to	2
OBO:MicrO_1207	biolink:related_to	1
OBO:chebi#has_functional_parent	biolink:related_to	1319
OBO:chebi#has_parent_hydride	biolink:related_to	81
OBO:chebi#is_conjugate_acid_of	biolink:related_to	365
OBO:chebi#is_conjugate_base_of	biolink:related_to	384
OBO:chebi#is_enantiomer_of	biolink:related_to	274
OBO:chebi#is_tautomer_of	biolink:related_to	28
OBO:uberon/core#evolved_from	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	1
RO:0000080	biolink:related_to	18
RO:0000086	biolink:has_attribute	55
RO:0000087	biolink:has_attribute	1171
RO:0001025	biolink:located_in	11
RO:0002131	biolink:overlaps	77
RO:0002180	biolink:has_part	10
RO:0002202	biolink:develops_from	5
RO:0002215	biolink:capable_of	10
RO:0002219	biolink:coexists_with	4
RO:0002220	biolink:coexists_with	3
RO:0002221	biolink:coexists_with	4
RO:0002303	biolink:located_in	2
RO:0002354	biolink:has_output	43
RO:0002436	biolink:molecularly_interacts_with	2
RO:0002473	biolink:has_part	2
RO:0003000	biolink:produces	2
RO:0003001	biolink:produced_by	2
inverseOf	biolink:inverseOf	55
rdfs:subClassOf	biolink:subclass_of	23594
subPropertyOf	biolink:subPropertyOf	188
