relation	predicate	count
BFO:0000050	biolink:related_to	6690
BFO:0000051	biolink:related_to	755
BFO:0000054	biolink:related_to	23
BFO:0000055	biolink:related_to	3
BFO:0000062	biolink:related_to	9
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	46
BFO:0000067	biolink:related_to	9
BFO:0000117	biolink:related_to	2
BFO:0000167	biolink:related_to	3
BSPO:0000096	biolink:related_to	7
BSPO:0000097	biolink:related_to	2
BSPO:0000098	biolink:related_to	2
BSPO:0000099	biolink:related_to	4
BSPO:0000100	biolink:related_to	3
BSPO:0000102	biolink:related_to	2
BSPO:0000107	biolink:related_to	4
BSPO:0000108	biolink:related_to	5
BSPO:0000120	biolink:related_to	33
BSPO:0000121	biolink:related_to	31
BSPO:0000122	biolink:related_to	2
BSPO:0000123	biolink:related_to	3
BSPO:0000124	biolink:related_to	2
BSPO:0000125	biolink:related_to	2
BSPO:0000126	biolink:related_to	32
BSPO:0001101	biolink:related_to	2
BSPO:0001106	biolink:related_to	4
BSPO:0001107	biolink:related_to	9
BSPO:0001108	biolink:related_to	3
BSPO:0001113	biolink:related_to	4
BSPO:0001115	biolink:related_to	2
BSPO:0005001	biolink:related_to	8
BSPO:0015014	biolink:related_to	3
BSPO:0015101	biolink:related_to	3
BSPO:0015102	biolink:related_to	2
CL:4030044	biolink:related_to	8
CL:4030045	biolink:related_to	4
CL:4030046	biolink:related_to	17
ENVO:01001307	biolink:related_to	1
ENVO:02000200	biolink:related_to	7
FOODON:00001301	biolink:related_to	1
MONDO:0100332	biolink:related_to	142
MONDO:0100333	biolink:related_to	4
NCIT:R163	biolink:related_to	3
NCIT:R81	biolink:related_to	1
NCIT:R82	biolink:related_to	1
OBO:MAXO_0000864	biolink:related_to	7
OBO:MF#manifestationOf	biolink:related_to	1
OBO:chebi#has_functional_parent	biolink:related_to	50
OBO:chebi#has_parent_hydride	biolink:related_to	16
OBO:chebi#is_conjugate_acid_of	biolink:related_to	139
OBO:chebi#is_conjugate_base_of	biolink:related_to	139
OBO:chebi#is_enantiomer_of	biolink:related_to	42
OBO:chebi#is_substituent_group_from	biolink:related_to	10
OBO:chebi#is_tautomer_of	biolink:related_to	40
OBO:mondo#disease_has_basis_in_accumulation_of	biolink:related_to	1
OBO:mondo#disease_has_basis_in_development_of	biolink:related_to	2
OBO:mondo#disease_has_major_feature	biolink:related_to	144
OBO:mondo#disease_responds_to	biolink:related_to	12
OBO:mondo#disease_shares_features_of	biolink:related_to	48
OBO:mondo#disease_triggers	biolink:related_to	2
OBO:mondo#has_onset_before	biolink:related_to	2
OBO:mondo#has_onset_during_or_after	biolink:related_to	2
OBO:mondo#part_of_progression_of_disease	biolink:related_to	2
OBO:mondo#predisposes_towards	biolink:related_to	376
OBO:nbo#by_means	biolink:related_to	1
OBO:nbo#has_participant	biolink:related_to	5
OBO:so#derives_from	biolink:related_to	3
OBO:so#has_part	biolink:related_to	4
OBO:so#has_quality	biolink:related_to	7
OBO:so#member_of	biolink:related_to	2
OBO:so#overlaps	biolink:related_to	1
OBO:so#part_of	biolink:related_to	1
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	22
OBO:uberon/core#channel_for	biolink:related_to	29
OBO:uberon/core#channels_from	biolink:related_to	14
OBO:uberon/core#channels_into	biolink:related_to	14
OBO:uberon/core#distally_connected_to	biolink:related_to	26
OBO:uberon/core#extends_fibers_into	biolink:related_to	93
OBO:uberon/core#filtered_through	biolink:related_to	3
OBO:uberon/core#in_innermost_side_of	biolink:related_to	1
OBO:uberon/core#indirectly_supplies	biolink:related_to	4
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	5
OBO:uberon/core#proximally_connected_to	biolink:related_to	47
OBO:uberon/core#sexually_homologous_to	biolink:related_to	8
OBO:uberon/core#site_of	biolink:related_to	8
OBO:uberon/core#subdivision_of	biolink:related_to	14
RO:0000052	biolink:related_to	21
RO:0000053	biolink:related_to	1386
RO:0000056	biolink:related_to	17
RO:0000057	biolink:related_to	18
RO:0000086	biolink:related_to	121
RO:0000087	biolink:related_to	502
RO:0000091	biolink:related_to	1
RO:0001000	biolink:related_to	33
RO:0001015	biolink:related_to	15
RO:0001025	biolink:related_to	103
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	22
RO:0002007	biolink:related_to	37
RO:0002082	biolink:related_to	8
RO:0002087	biolink:related_to	63
RO:0002100	biolink:related_to	31
RO:0002103	biolink:related_to	2
RO:0002104	biolink:related_to	27
RO:0002120	biolink:related_to	4
RO:0002131	biolink:related_to	137
RO:0002134	biolink:related_to	66
RO:0002150	biolink:related_to	71
RO:0002159	biolink:related_to	1
RO:0002160	biolink:related_to	277
RO:0002162	biolink:related_to	1868
RO:0002170	biolink:related_to	93
RO:0002176	biolink:related_to	251
RO:0002177	biolink:related_to	4
RO:0002178	biolink:related_to	87
RO:0002179	biolink:related_to	68
RO:0002180	biolink:related_to	5
RO:0002202	biolink:related_to	1013
RO:0002203	biolink:related_to	5
RO:0002207	biolink:related_to	3
RO:0002210	biolink:related_to	1
RO:0002211	biolink:related_to	582
RO:0002212	biolink:related_to	512
RO:0002213	biolink:related_to	514
RO:0002215	biolink:related_to	206
RO:0002216	biolink:related_to	57
RO:0002219	biolink:related_to	32
RO:0002220	biolink:related_to	186
RO:0002221	biolink:related_to	38
RO:0002223	biolink:related_to	1
RO:0002225	biolink:related_to	4
RO:0002226	biolink:related_to	4
RO:0002229	biolink:related_to	2
RO:0002230	biolink:related_to	1
RO:0002233	biolink:related_to	11
RO:0002234	biolink:related_to	13
RO:0002252	biolink:related_to	49
RO:0002254	biolink:related_to	103
RO:0002256	biolink:related_to	18
RO:0002285	biolink:related_to	7
RO:0002297	biolink:related_to	3
RO:0002309	biolink:related_to	396
RO:0002322	biolink:related_to	4
RO:0002328	biolink:related_to	4
RO:0002350	biolink:related_to	9
RO:0002351	biolink:related_to	13
RO:0002353	biolink:related_to	26
RO:0002354	biolink:related_to	7
RO:0002371	biolink:related_to	74
RO:0002372	biolink:related_to	29
RO:0002373	biolink:related_to	28
RO:0002374	biolink:related_to	16
RO:0002376	biolink:related_to	38
RO:0002380	biolink:related_to	36
RO:0002385	biolink:related_to	12
RO:0002387	biolink:related_to	154
RO:0002388	biolink:related_to	1
RO:0002428	biolink:related_to	1
RO:0002433	biolink:related_to	146
RO:0002451	biolink:related_to	75
RO:0002473	biolink:related_to	377
RO:0002488	biolink:related_to	7
RO:0002489	biolink:related_to	1
RO:0002491	biolink:related_to	9
RO:0002492	biolink:related_to	28
RO:0002493	biolink:related_to	5
RO:0002494	biolink:related_to	41
RO:0002495	biolink:related_to	58
RO:0002496	biolink:related_to	1
RO:0002497	biolink:related_to	1
RO:0002500	biolink:related_to	1
RO:0002507	biolink:related_to	27
RO:0002509	biolink:related_to	2
RO:0002551	biolink:related_to	62
RO:0002568	biolink:related_to	10
RO:0002570	biolink:related_to	23
RO:0002572	biolink:related_to	10
RO:0002573	biolink:related_to	16
RO:0002576	biolink:related_to	4
RO:0002596	biolink:related_to	1
RO:0002608	biolink:related_to	5
RO:0003000	biolink:related_to	23
RO:0003001	biolink:related_to	40
RO:0004001	biolink:related_to	10
RO:0004003	biolink:related_to	4663
RO:0004004	biolink:related_to	5
RO:0004020	biolink:related_to	75
RO:0004021	biolink:related_to	275
RO:0004022	biolink:related_to	152
RO:0004024	biolink:related_to	98
RO:0004025	biolink:related_to	5
RO:0004026	biolink:related_to	2711
RO:0004027	biolink:related_to	253
RO:0004028	biolink:related_to	56
RO:0004029	biolink:related_to	1122
RO:0004030	biolink:related_to	487
RO:0009501	biolink:related_to	71
RO:0014001	biolink:related_to	469
RO:0015007	biolink:related_to	1
