relation	predicate	count
BFO:0000050	biolink:related_to	9635
BFO:0000051	biolink:related_to	865
BFO:0000062	biolink:related_to	9
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	244
BFO:0000067	biolink:related_to	18
BSPO:0000096	biolink:related_to	11
BSPO:0000097	biolink:related_to	2
BSPO:0000098	biolink:related_to	5
BSPO:0000099	biolink:related_to	5
BSPO:0000100	biolink:related_to	3
BSPO:0000102	biolink:related_to	4
BSPO:0000107	biolink:related_to	9
BSPO:0000108	biolink:related_to	8
BSPO:0000120	biolink:related_to	44
BSPO:0000121	biolink:related_to	41
BSPO:0000122	biolink:related_to	4
BSPO:0000123	biolink:related_to	5
BSPO:0000124	biolink:related_to	2
BSPO:0000125	biolink:related_to	2
BSPO:0000126	biolink:related_to	62
BSPO:0001100	biolink:related_to	5
BSPO:0001101	biolink:related_to	4
BSPO:0001106	biolink:related_to	4
BSPO:0001107	biolink:related_to	26
BSPO:0001108	biolink:related_to	3
BSPO:0001113	biolink:related_to	5
BSPO:0001115	biolink:related_to	2
BSPO:0005001	biolink:related_to	7
BSPO:0015014	biolink:related_to	12
BSPO:0015101	biolink:related_to	4
BSPO:0015102	biolink:related_to	2
CL:4030044	biolink:related_to	12
CL:4030045	biolink:related_to	9
CL:4030046	biolink:related_to	288
OBO:GOREL_0002003	biolink:related_to	2
OBO:GOREL_0002004	biolink:related_to	3
OBO:chebi#has_functional_parent	biolink:related_to	93
OBO:chebi#has_parent_hydride	biolink:related_to	21
OBO:chebi#is_conjugate_acid_of	biolink:related_to	260
OBO:chebi#is_conjugate_base_of	biolink:related_to	260
OBO:chebi#is_enantiomer_of	biolink:related_to	72
OBO:chebi#is_substituent_group_from	biolink:related_to	24
OBO:chebi#is_tautomer_of	biolink:related_to	74
OBO:mpath#part_of	biolink:related_to	1
OBO:nbo#by_means	biolink:related_to	1
OBO:nbo#has_participant	biolink:related_to	5
OBO:pr#has_gene_template	biolink:related_to	1
OBO:pr#lacks_part	biolink:related_to	32
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	22
OBO:uberon/core#channel_for	biolink:related_to	32
OBO:uberon/core#channels_from	biolink:related_to	17
OBO:uberon/core#channels_into	biolink:related_to	15
OBO:uberon/core#distally_connected_to	biolink:related_to	28
OBO:uberon/core#extends_fibers_into	biolink:related_to	122
OBO:uberon/core#filtered_through	biolink:related_to	3
OBO:uberon/core#in_innermost_side_of	biolink:related_to	1
OBO:uberon/core#in_outermost_side_of	biolink:related_to	1
OBO:uberon/core#indirectly_supplies	biolink:related_to	4
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	4
OBO:uberon/core#proximally_connected_to	biolink:related_to	49
OBO:uberon/core#sexually_homologous_to	biolink:related_to	8
OBO:uberon/core#site_of	biolink:related_to	9
OBO:uberon/core#subdivision_of	biolink:related_to	13
OBO:uberon/core#trunk_part_of	biolink:related_to	1
RO:0000053	biolink:related_to	76
RO:0000056	biolink:related_to	14
RO:0000057	biolink:related_to	20
RO:0000086	biolink:related_to	83
RO:0000087	biolink:related_to	652
RO:0001000	biolink:related_to	2
RO:0001015	biolink:related_to	16
RO:0001025	biolink:related_to	128
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	50
RO:0002007	biolink:related_to	67
RO:0002082	biolink:related_to	8
RO:0002087	biolink:related_to	2
RO:0002100	biolink:related_to	61
RO:0002103	biolink:related_to	3
RO:0002104	biolink:related_to	237
RO:0002120	biolink:related_to	4
RO:0002131	biolink:related_to	168
RO:0002134	biolink:related_to	78
RO:0002150	biolink:related_to	81
RO:0002159	biolink:related_to	2
RO:0002160	biolink:related_to	310
RO:0002162	biolink:related_to	327
RO:0002170	biolink:related_to	109
RO:0002176	biolink:related_to	389
RO:0002177	biolink:related_to	4
RO:0002178	biolink:related_to	89
RO:0002179	biolink:related_to	73
RO:0002180	biolink:related_to	5
RO:0002202	biolink:related_to	1253
RO:0002203	biolink:related_to	7
RO:0002207	biolink:related_to	2
RO:0002210	biolink:related_to	1
RO:0002211	biolink:related_to	1349
RO:0002212	biolink:related_to	1188
RO:0002213	biolink:related_to	1182
RO:0002215	biolink:related_to	298
RO:0002216	biolink:related_to	83
RO:0002219	biolink:related_to	33
RO:0002220	biolink:related_to	245
RO:0002221	biolink:related_to	62
RO:0002223	biolink:related_to	1
RO:0002224	biolink:related_to	13
RO:0002225	biolink:related_to	3
RO:0002226	biolink:related_to	5
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	4
RO:0002231	biolink:related_to	17
RO:0002232	biolink:related_to	15
RO:0002252	biolink:related_to	62
RO:0002254	biolink:related_to	107
RO:0002256	biolink:related_to	18
RO:0002285	biolink:related_to	7
RO:0002292	biolink:related_to	1
RO:0002295	biolink:related_to	1
RO:0002296	biolink:related_to	568
RO:0002297	biolink:related_to	164
RO:0002298	biolink:related_to	310
RO:0002299	biolink:related_to	65
RO:0002315	biolink:related_to	206
RO:0002322	biolink:related_to	3
RO:0002328	biolink:related_to	4
RO:0002332	biolink:related_to	34
RO:0002338	biolink:related_to	67
RO:0002339	biolink:related_to	132
RO:0002341	biolink:related_to	29
RO:0002342	biolink:related_to	95
RO:0002343	biolink:related_to	22
RO:0002344	biolink:related_to	15
RO:0002351	biolink:related_to	13
RO:0002353	biolink:related_to	56
RO:0002371	biolink:related_to	90
RO:0002372	biolink:related_to	51
RO:0002373	biolink:related_to	51
RO:0002374	biolink:related_to	18
RO:0002376	biolink:related_to	41
RO:0002380	biolink:related_to	34
RO:0002385	biolink:related_to	12
RO:0002387	biolink:related_to	175
RO:0002388	biolink:related_to	1
RO:0002428	biolink:related_to	1
RO:0002433	biolink:related_to	286
RO:0002473	biolink:related_to	405
RO:0002488	biolink:related_to	9
RO:0002489	biolink:related_to	1
RO:0002491	biolink:related_to	9
RO:0002492	biolink:related_to	29
RO:0002493	biolink:related_to	5
RO:0002494	biolink:related_to	42
RO:0002495	biolink:related_to	59
RO:0002496	biolink:related_to	1
RO:0002497	biolink:related_to	1
RO:0002503	biolink:related_to	3
RO:0002505	biolink:related_to	1
RO:0002551	biolink:related_to	60
RO:0002565	biolink:related_to	73
RO:0002568	biolink:related_to	17
RO:0002570	biolink:related_to	36
RO:0002572	biolink:related_to	17
RO:0002573	biolink:related_to	6
RO:0002576	biolink:related_to	6
RO:0002588	biolink:related_to	47
RO:0002590	biolink:related_to	22
RO:0002592	biolink:related_to	69
RO:0002608	biolink:related_to	47
RO:0002610	biolink:related_to	1
RO:0003000	biolink:related_to	29
RO:0003001	biolink:related_to	44
RO:0004007	biolink:related_to	144
RO:0004008	biolink:related_to	146
RO:0004009	biolink:related_to	820
RO:0012003	biolink:related_to	70
RO:0012008	biolink:related_to	18
RO:0015007	biolink:related_to	64
RO:0015008	biolink:related_to	63
RO:0015011	biolink:related_to	3
RO:0015012	biolink:related_to	5
RO:0015015	biolink:related_to	20
RO:0015016	biolink:related_to	20
RO:0019000	biolink:related_to	1
inverseOf	biolink:inverseOf	52
rdfs:subClassOf	biolink:subclass_of	57503
subPropertyOf	biolink:subPropertyOf	317
type	biolink:type	51
