relation	predicate	count
BFO:0000050	biolink:related_to	1932
BFO:0000051	biolink:related_to	225
BFO:0000062	biolink:related_to	6
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	3
BFO:0000067	biolink:related_to	1
BSPO:0000096	biolink:related_to	5
BSPO:0000098	biolink:related_to	2
BSPO:0000099	biolink:related_to	2
BSPO:0000102	biolink:related_to	2
BSPO:0000107	biolink:related_to	3
BSPO:0000108	biolink:related_to	3
BSPO:0000120	biolink:related_to	16
BSPO:0000121	biolink:related_to	17
BSPO:0000122	biolink:related_to	2
BSPO:0000123	biolink:related_to	4
BSPO:0000126	biolink:related_to	11
BSPO:0001106	biolink:related_to	1
BSPO:0001107	biolink:related_to	2
BSPO:0001108	biolink:related_to	1
OBO:chebi#has_functional_parent	biolink:related_to	9
OBO:chebi#has_parent_hydride	biolink:related_to	4
OBO:chebi#is_conjugate_acid_of	biolink:related_to	25
OBO:chebi#is_conjugate_base_of	biolink:related_to	25
OBO:chebi#is_enantiomer_of	biolink:related_to	4
OBO:chebi#is_substituent_group_from	biolink:related_to	5
OBO:chebi#is_tautomer_of	biolink:related_to	4
OBO:nbo#by_means	biolink:related_to	8
OBO:nbo#has_participant	biolink:related_to	13
OBO:nbo#in_response_to	biolink:related_to	20
OBO:nbo#is_about	biolink:related_to	21
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#channel_for	biolink:related_to	11
OBO:uberon/core#channels_from	biolink:related_to	5
OBO:uberon/core#channels_into	biolink:related_to	6
OBO:uberon/core#extends_fibers_into	biolink:related_to	25
OBO:uberon/core#filtered_through	biolink:related_to	2
OBO:uberon/core#indirectly_supplies	biolink:related_to	4
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	2
OBO:uberon/core#proximally_connected_to	biolink:related_to	6
OBO:uberon/core#site_of	biolink:related_to	5
RO:0000052	biolink:related_to	1
RO:0000056	biolink:related_to	1
RO:0000086	biolink:related_to	34
RO:0000087	biolink:related_to	106
RO:0001015	biolink:related_to	4
RO:0001019	biolink:related_to	1
RO:0001025	biolink:related_to	40
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	5
RO:0002007	biolink:related_to	13
RO:0002082	biolink:related_to	8
RO:0002087	biolink:related_to	2
RO:0002131	biolink:related_to	43
RO:0002134	biolink:related_to	14
RO:0002150	biolink:related_to	35
RO:0002160	biolink:related_to	132
RO:0002170	biolink:related_to	43
RO:0002176	biolink:related_to	48
RO:0002177	biolink:related_to	4
RO:0002178	biolink:related_to	33
RO:0002179	biolink:related_to	35
RO:0002202	biolink:related_to	361
RO:0002207	biolink:related_to	1
RO:0002211	biolink:related_to	145
RO:0002212	biolink:related_to	102
RO:0002213	biolink:related_to	104
RO:0002215	biolink:related_to	47
RO:0002216	biolink:related_to	20
RO:0002219	biolink:related_to	16
RO:0002220	biolink:related_to	56
RO:0002221	biolink:related_to	15
RO:0002223	biolink:related_to	1
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	1
RO:0002254	biolink:related_to	49
RO:0002256	biolink:related_to	16
RO:0002285	biolink:related_to	3
RO:0002328	biolink:related_to	3
RO:0002351	biolink:related_to	8
RO:0002353	biolink:related_to	6
RO:0002371	biolink:related_to	14
RO:0002372	biolink:related_to	2
RO:0002373	biolink:related_to	5
RO:0002376	biolink:related_to	9
RO:0002380	biolink:related_to	17
RO:0002385	biolink:related_to	9
RO:0002387	biolink:related_to	82
RO:0002433	biolink:related_to	100
RO:0002473	biolink:related_to	73
RO:0002488	biolink:related_to	7
RO:0002489	biolink:related_to	1
RO:0002491	biolink:related_to	7
RO:0002492	biolink:related_to	24
RO:0002493	biolink:related_to	3
RO:0002494	biolink:related_to	7
RO:0002495	biolink:related_to	25
RO:0002496	biolink:related_to	1
RO:0002497	biolink:related_to	1
RO:0002551	biolink:related_to	16
RO:0002568	biolink:related_to	2
RO:0002570	biolink:related_to	9
RO:0002572	biolink:related_to	14
RO:0002576	biolink:related_to	6
RO:0003000	biolink:related_to	6
RO:0003001	biolink:related_to	18
RO:0015007	biolink:related_to	18
RO:0015008	biolink:related_to	18
RO:0015011	biolink:related_to	2
RO:0015012	biolink:related_to	6
inverseOf	biolink:inverseOf	40
rdfs:subClassOf	biolink:subclass_of	7217
subPropertyOf	biolink:subPropertyOf	219
