relation	predicate	count
NCIT:R100	biolink:related_to	307
NCIT:R101	biolink:related_to	1546
NCIT:R102	biolink:related_to	100
NCIT:R103	biolink:related_to	408
NCIT:R104	biolink:related_to	407
NCIT:R105	biolink:related_to	1186
NCIT:R106	biolink:related_to	389
NCIT:R107	biolink:related_to	163
NCIT:R108	biolink:related_to	3558
NCIT:R110	biolink:related_to	186
NCIT:R111	biolink:related_to	2
NCIT:R112	biolink:related_to	11
NCIT:R113	biolink:related_to	353
NCIT:R114	biolink:related_to	1435
NCIT:R115	biolink:related_to	2894
NCIT:R116	biolink:related_to	618
NCIT:R122	biolink:related_to	356
NCIT:R123	biolink:related_to	13527
NCIT:R124	biolink:related_to	672
NCIT:R125	biolink:related_to	1438
NCIT:R126	biolink:related_to	269
NCIT:R130	biolink:related_to	14770
NCIT:R131	biolink:related_to	14875
NCIT:R132	biolink:related_to	96
NCIT:R133	biolink:related_to	27
NCIT:R135	biolink:related_to	150
NCIT:R136	biolink:related_to	2
NCIT:R137	biolink:related_to	29
NCIT:R138	biolink:related_to	37
NCIT:R139	biolink:related_to	245
NCIT:R140	biolink:related_to	136
NCIT:R141	biolink:related_to	67
NCIT:R142	biolink:related_to	867
NCIT:R145	biolink:related_to	985
NCIT:R146	biolink:related_to	316
NCIT:R150	biolink:related_to	28
NCIT:R153	biolink:related_to	178
NCIT:R155	biolink:related_to	105
NCIT:R156	biolink:related_to	1
NCIT:R158	biolink:related_to	128
NCIT:R159	biolink:related_to	74
NCIT:R160	biolink:related_to	3
NCIT:R163	biolink:related_to	112
NCIT:R165	biolink:related_to	1
NCIT:R166	biolink:related_to	6
NCIT:R167	biolink:related_to	102
NCIT:R168	biolink:related_to	9
NCIT:R169	biolink:related_to	127
NCIT:R170	biolink:related_to	6
NCIT:R171	biolink:related_to	75
NCIT:R172	biolink:related_to	435
NCIT:R173	biolink:related_to	458
NCIT:R174	biolink:related_to	200
NCIT:R175	biolink:related_to	695
NCIT:R176	biolink:related_to	1731
NCIT:R177	biolink:related_to	1568
NCIT:R178	biolink:related_to	718
NCIT:R179	biolink:related_to	640
NCIT:R182	biolink:related_to	139
NCIT:R23	biolink:related_to	1
NCIT:R24	biolink:related_to	100
NCIT:R25	biolink:related_to	488
NCIT:R26	biolink:related_to	81
NCIT:R27	biolink:related_to	3585
NCIT:R28	biolink:related_to	28
NCIT:R29	biolink:related_to	15
NCIT:R30	biolink:related_to	87
NCIT:R31	biolink:related_to	33
NCIT:R32	biolink:related_to	25
NCIT:R34	biolink:related_to	42
NCIT:R35	biolink:related_to	175
NCIT:R36	biolink:related_to	33
NCIT:R37	biolink:related_to	13284
NCIT:R38	biolink:related_to	1066
NCIT:R39	biolink:related_to	20
NCIT:R40	biolink:related_to	4528
NCIT:R41	biolink:related_to	1516
NCIT:R42	biolink:related_to	128
NCIT:R44	biolink:related_to	1534
NCIT:R45	biolink:related_to	918
NCIT:R46	biolink:related_to	4734
NCIT:R47	biolink:related_to	32
NCIT:R48	biolink:related_to	511
NCIT:R49	biolink:related_to	1713
NCIT:R50	biolink:related_to	3587
NCIT:R51	biolink:related_to	662
NCIT:R52	biolink:related_to	2891
NCIT:R53	biolink:related_to	14181
NCIT:R54	biolink:related_to	6790
NCIT:R66	biolink:related_to	9
NCIT:R72	biolink:related_to	293
NCIT:R81	biolink:related_to	135
NCIT:R82	biolink:related_to	3016
NCIT:R88	biolink:related_to	1860
NCIT:R89	biolink:related_to	1085
rdfs:subClassOf	biolink:subclass_of	219856
subPropertyOf	biolink:subPropertyOf	11
