relation	predicate	count
BFO:0000050	biolink:part_of	940
BFO:0000051	biolink:has_part	142
BFO:0000062	biolink:preceded_by	9
BFO:0000063	biolink:precedes	3
BFO:0000066	biolink:occurs_in	262
BSPO:0000096	biolink:coexists_with	4
BSPO:0000097	biolink:coexists_with	2
BSPO:0000098	biolink:coexists_with	2
BSPO:0000099	biolink:coexists_with	1
BSPO:0000100	biolink:coexists_with	2
BSPO:0000102	biolink:coexists_with	2
BSPO:0000107	biolink:located_in	2
BSPO:0000108	biolink:located_in	3
BSPO:0000120	biolink:located_in	4
BSPO:0000121	biolink:located_in	4
BSPO:0000122	biolink:located_in	1
BSPO:0000123	biolink:located_in	2
BSPO:0000126	biolink:located_in	21
BSPO:0001106	biolink:part_of	2
IAO:0000136	biolink:related_to	4
OAE:0000025	biolink:related_to	12
OAE:0001735	biolink:related_to	35
OAE:0001788	biolink:related_to	1213
OAE:0002081	biolink:related_to	75
OAE:0002615	biolink:related_to	1
OBI:0000293	biolink:has_participant	2
OBI:0000299	biolink:has_output	2
OBO:uberon/core#anteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#channel_for	biolink:coexists_with	13
OBO:uberon/core#channels_from	biolink:coexists_with	6
OBO:uberon/core#channels_into	biolink:coexists_with	7
OBO:uberon/core#conduit_for	biolink:coexists_with	2
OBO:uberon/core#distally_connected_to	biolink:coexists_with	6
OBO:uberon/core#evolved_from	biolink:related_to	1
OBO:uberon/core#existence_starts_and_ends_during	biolink:related_to	5
OBO:uberon/core#extends_fibers_into	biolink:coexists_with	12
OBO:uberon/core#posteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#protects	biolink:related_to	3
OBO:uberon/core#proximally_connected_to	biolink:coexists_with	16
RO:0000086	biolink:has_attribute	3
RO:0000087	biolink:has_attribute	1
RO:0001015	biolink:location_of	3
RO:0001025	biolink:located_in	34
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	3
RO:0002007	biolink:part_of	11
RO:0002087	biolink:preceded_by	3
RO:0002092	biolink:related_to	2
RO:0002134	biolink:related_to	4
RO:0002150	biolink:related_to	27
RO:0002158	biolink:related_to	2
RO:0002170	biolink:related_to	7
RO:0002176	biolink:related_to	28
RO:0002178	biolink:related_to	4
RO:0002179	biolink:related_to	2
RO:0002202	biolink:develops_from	291
RO:0002219	biolink:coexists_with	12
RO:0002220	biolink:coexists_with	35
RO:0002221	biolink:coexists_with	6
RO:0002223	biolink:temporally_related_to	1
RO:0002224	biolink:temporally_related_to	1
RO:0002229	biolink:temporally_related_to	1
RO:0002230	biolink:temporally_related_to	1
RO:0002254	biolink:related_to	47
RO:0002256	biolink:causes	17
RO:0002285	biolink:preceded_by	3
RO:0002351	biolink:has_part	7
RO:0002371	biolink:related_to	8
RO:0002380	biolink:part_of	5
RO:0002385	biolink:related_to	10
RO:0002387	biolink:related_to	77
RO:0002433	biolink:overlaps	116
RO:0002473	biolink:has_part	43
RO:0002488	biolink:temporally_related_to	5
RO:0002492	biolink:temporally_related_to	26
RO:0002493	biolink:temporally_related_to	3
RO:0002494	biolink:related_to	7
RO:0002495	biolink:related_to	35
RO:0002496	biolink:temporally_related_to	4
RO:0002497	biolink:temporally_related_to	1
RO:0002551	biolink:has_part	21
RO:0002572	biolink:part_of	12
RO:0002576	biolink:part_of	15
RO:0003000	biolink:produces	6
RO:0003001	biolink:produced_by	5
http://www.obofoundry.org/ro/ro.owl#preceded_by	biolink:related_to	4
inverseOf	biolink:inverseOf	14
rdfs:subClassOf	biolink:subclass_of	11374
subPropertyOf	biolink:subPropertyOf	77
