relation	predicate	count
BFO:0000050	biolink:related_to	12707
BFO:0000051	biolink:related_to	992
BFO:0000054	biolink:related_to	5
BFO:0000062	biolink:related_to	10
BFO:0000063	biolink:related_to	4
BFO:0000066	biolink:related_to	340
BFO:0000067	biolink:related_to	19
BSPO:0000096	biolink:related_to	11
BSPO:0000097	biolink:related_to	2
BSPO:0000098	biolink:related_to	9
BSPO:0000099	biolink:related_to	5
BSPO:0000100	biolink:related_to	3
BSPO:0000102	biolink:related_to	6
BSPO:0000107	biolink:related_to	9
BSPO:0000108	biolink:related_to	10
BSPO:0000120	biolink:related_to	63
BSPO:0000121	biolink:related_to	60
BSPO:0000122	biolink:related_to	4
BSPO:0000123	biolink:related_to	5
BSPO:0000124	biolink:related_to	2
BSPO:0000125	biolink:related_to	2
BSPO:0000126	biolink:related_to	64
BSPO:0001100	biolink:related_to	5
BSPO:0001101	biolink:related_to	4
BSPO:0001106	biolink:related_to	6
BSPO:0001107	biolink:related_to	27
BSPO:0001108	biolink:related_to	3
BSPO:0001113	biolink:related_to	6
BSPO:0001115	biolink:related_to	4
BSPO:0005001	biolink:related_to	9
BSPO:0015014	biolink:related_to	12
BSPO:0015101	biolink:related_to	4
BSPO:0015102	biolink:related_to	2
BSPO:0020001	biolink:related_to	6
CL:4030044	biolink:related_to	15
CL:4030045	biolink:related_to	10
CL:4030046	biolink:related_to	488
MONDO:0100332	biolink:related_to	12
OBO:GOREL_0002003	biolink:related_to	6
OBO:GOREL_0002004	biolink:related_to	8
OBO:chebi#has_functional_parent	biolink:related_to	280
OBO:chebi#has_parent_hydride	biolink:related_to	55
OBO:chebi#is_conjugate_acid_of	biolink:related_to	566
OBO:chebi#is_conjugate_base_of	biolink:related_to	566
OBO:chebi#is_enantiomer_of	biolink:related_to	214
OBO:chebi#is_substituent_group_from	biolink:related_to	49
OBO:chebi#is_tautomer_of	biolink:related_to	238
OBO:mondo#disease_has_major_feature	biolink:related_to	22
OBO:mondo#predisposes_towards	biolink:related_to	9
OBO:nbo#by_means	biolink:related_to	2
OBO:nbo#has_participant	biolink:related_to	10
OBO:nbo#in_response_to	biolink:related_to	18
OBO:nbo#is_about	biolink:related_to	9
OBO:pr#has_constituent_monomer	biolink:related_to	5
OBO:pr#has_gene_template	biolink:related_to	5334
OBO:pr#lacks_part	biolink:related_to	2221
OBO:so#derives_from	biolink:related_to	5
OBO:so#member_of	biolink:related_to	2
OBO:so#overlaps	biolink:related_to	1
OBO:so#part_of	biolink:related_to	6
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	6
OBO:uberon/core#channel_for	biolink:related_to	28
OBO:uberon/core#channels_from	biolink:related_to	17
OBO:uberon/core#channels_into	biolink:related_to	14
OBO:uberon/core#distally_connected_to	biolink:related_to	28
OBO:uberon/core#extends_fibers_into	biolink:related_to	119
OBO:uberon/core#filtered_through	biolink:related_to	3
OBO:uberon/core#in_innermost_side_of	biolink:related_to	1
OBO:uberon/core#in_outermost_side_of	biolink:related_to	1
OBO:uberon/core#indirectly_supplies	biolink:related_to	4
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	4
OBO:uberon/core#proximally_connected_to	biolink:related_to	49
OBO:uberon/core#sexually_homologous_to	biolink:related_to	8
OBO:uberon/core#site_of	biolink:related_to	7
OBO:uberon/core#subdivision_of	biolink:related_to	14
OBO:uberon/core#trunk_part_of	biolink:related_to	1
RO:0000052	biolink:related_to	4449
RO:0000053	biolink:related_to	331
RO:0000056	biolink:related_to	42
RO:0000057	biolink:related_to	246
RO:0000086	biolink:related_to	88
RO:0000087	biolink:related_to	1943
RO:0001000	biolink:related_to	8
RO:0001015	biolink:related_to	16
RO:0001025	biolink:related_to	121
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	58
RO:0002007	biolink:related_to	85
RO:0002008	biolink:related_to	1
RO:0002082	biolink:related_to	8
RO:0002087	biolink:related_to	6
RO:0002090	biolink:related_to	4
RO:0002092	biolink:related_to	6
RO:0002093	biolink:related_to	1
RO:0002100	biolink:related_to	70
RO:0002102	biolink:related_to	2
RO:0002103	biolink:related_to	4
RO:0002104	biolink:related_to	471
RO:0002120	biolink:related_to	5
RO:0002131	biolink:related_to	167
RO:0002134	biolink:related_to	81
RO:0002150	biolink:related_to	88
RO:0002159	biolink:related_to	2
RO:0002160	biolink:related_to	11470
RO:0002162	biolink:related_to	361
RO:0002170	biolink:related_to	107
RO:0002176	biolink:related_to	363
RO:0002177	biolink:related_to	4
RO:0002178	biolink:related_to	95
RO:0002179	biolink:related_to	72
RO:0002180	biolink:related_to	12
RO:0002202	biolink:related_to	1222
RO:0002203	biolink:related_to	9
RO:0002207	biolink:related_to	3
RO:0002210	biolink:related_to	1
RO:0002211	biolink:related_to	1579
RO:0002212	biolink:related_to	1359
