relation	predicate	count
BFO:0000050	biolink:related_to	5
BFO:0000051	biolink:related_to	18
BFO:0000054	biolink:related_to	1
BFO:0000055	biolink:related_to	3
IAO:0000039	biolink:related_to	8
IAO:0000136	biolink:related_to	49
IAO:0000219	biolink:related_to	1
IAO:0000221	biolink:related_to	4
IAO:0000413	biolink:related_to	1
OBCS:0000223	biolink:related_to	2
OBCS:0000227	biolink:related_to	1
OBCS:0000237	biolink:related_to	2
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:related_to	38
OBI:0000299	biolink:related_to	53
OBI:0000312	biolink:related_to	112
OBI:0000417	biolink:related_to	137
OBI:0000643	biolink:related_to	3
OBI:0001938	biolink:related_to	2
RO:0000052	biolink:related_to	2
RO:0000053	biolink:related_to	1
RO:0000079	biolink:related_to	2
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	4
RO:0000087	biolink:related_to	6
RO:0001000	biolink:related_to	13
RO:0002087	biolink:related_to	1
RO:0002351	biolink:related_to	6
inverseOf	biolink:inverseOf	15
rdfs:subClassOf	biolink:subclass_of	1337
subPropertyOf	biolink:subPropertyOf	32
type	biolink:type	25
