relation	predicate	count
BFO:0000050	biolink:related_to	20
BFO:0000051	biolink:related_to	272
BFO:0000054	biolink:related_to	2
BFO:0000055	biolink:related_to	21
IAO:0000039	biolink:related_to	7
IAO:0000136	biolink:related_to	62
IAO:0000219	biolink:related_to	2
IAO:0000221	biolink:related_to	3
IAO:0000413	biolink:related_to	1
OBI:0000107	biolink:related_to	6
OBI:0000124	biolink:related_to	2
OBI:0000293	biolink:related_to	200
OBI:0000299	biolink:related_to	335
OBI:0000312	biolink:related_to	269
OBI:0000417	biolink:related_to	264
OBI:0000643	biolink:related_to	15
OBI:0000646	biolink:related_to	1
OBI:0000846	biolink:related_to	2
OBI:0001688	biolink:related_to	4
OBI:0001927	biolink:related_to	1
OBI:0001938	biolink:related_to	4
OBI:1110060	biolink:related_to	67
RO:0000052	biolink:related_to	20
RO:0000053	biolink:related_to	6
RO:0000056	biolink:related_to	1
RO:0000057	biolink:related_to	16
RO:0000079	biolink:related_to	2
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	236
RO:0000086	biolink:related_to	1
RO:0000087	biolink:related_to	45
RO:0001000	biolink:related_to	37
RO:0002087	biolink:related_to	3
RO:0002215	biolink:related_to	7
inverseOf	biolink:inverseOf	20
rdfs:subClassOf	biolink:subclass_of	5862
subPropertyOf	biolink:subPropertyOf	50
type	biolink:type	308
