relation	predicate	count
BFO:0000050	biolink:related_to	8
BFO:0000051	biolink:related_to	16
BFO:0000054	biolink:related_to	3
BFO:0000055	biolink:related_to	5
GEO:000000329	biolink:related_to	1
IAO:0000136	biolink:related_to	11
IAO:0000221	biolink:related_to	1
IAO:0000413	biolink:related_to	1
IAO:0020012	biolink:related_to	5
OBI:0000107	biolink:related_to	1
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:related_to	28
OBI:0000299	biolink:related_to	21
OBI:0000312	biolink:related_to	166
OBI:0000417	biolink:related_to	27
OBI:0000643	biolink:related_to	5
OBI:0000846	biolink:related_to	1
OBI:0001688	biolink:related_to	1
OBIB:0000038	biolink:related_to	1
OBIB:0000734	biolink:related_to	1
OBO:cl#lacks_part	biolink:related_to	3
OMRSE:00000020	biolink:related_to	1
RO:0000052	biolink:related_to	6
RO:0000053	biolink:related_to	2
RO:0000056	biolink:related_to	1
RO:0000057	biolink:related_to	5
RO:0000079	biolink:related_to	1
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	24
RO:0000087	biolink:related_to	21
RO:0000091	biolink:related_to	1
RO:0001000	biolink:related_to	31
RO:0001025	biolink:related_to	1
RO:0002212	biolink:related_to	1
RO:0002351	biolink:related_to	1
inverseOf	biolink:inverseOf	17
rdfs:subClassOf	biolink:subclass_of	1901
subPropertyOf	biolink:subPropertyOf	50
type	biolink:type	226
