relation	predicate	count
BFO:0000050	biolink:related_to	8
BFO:0000051	biolink:related_to	77
BFO:0000052	biolink:related_to	6
BFO:0000053	biolink:related_to	2
BFO:0000054	biolink:related_to	11
BFO:0000055	biolink:related_to	10
FMA:85848	biolink:related_to	4
FMA:85857	biolink:related_to	2
FMA:85868	biolink:related_to	52
FMA:85879	biolink:related_to	119
FMA:85925	biolink:related_to	356
FMA:85995	biolink:related_to	12
FMA:85996	biolink:related_to	949
IAO:0000136	biolink:related_to	103
OBI:0000293	biolink:related_to	35
OBI:0000295	biolink:related_to	5
OBI:0000299	biolink:related_to	13
OBI:0000312	biolink:related_to	2
OBI:0000417	biolink:related_to	6
RO:0000052	biolink:related_to	2
RO:0000057	biolink:related_to	10
RO:0000087	biolink:related_to	18
RO:0002354	biolink:related_to	3
RO:0003304	biolink:related_to	2
inverseOf	biolink:inverseOf	10
rdfs:subClassOf	biolink:subclass_of	4110
subPropertyOf	biolink:subPropertyOf	88
type	biolink:type	32
