relation	predicate	count
BFO:0000051	biolink:has_part	3
BFO:0000055	biolink:has_part	2
BFO:0000066	biolink:occurs_in	186
IAO:0000136	biolink:related_to	3
OBI:0000293	biolink:has_participant	11
OBI:0000299	biolink:has_output	15
OBI:0000312	biolink:related_to	8
OBI:0000417	biolink:related_to	13
OBI:0000643	biolink:related_to	4
OBI:0001938	biolink:related_to	2
OHMI:0000059	biolink:related_to	27
OHMI:0000272	biolink:related_to	12
OHMI:0000304	biolink:related_to	2
OHMI:0000347	biolink:related_to	3
OHMI:0000348	biolink:related_to	3
OHMI:0000350	biolink:related_to	6
OHMI:0000354	biolink:related_to	8
OHMI:0000359	biolink:related_to	1
OHMI:0000377	biolink:related_to	121
OHMI:0000423	biolink:related_to	217
OHMI:0000453	biolink:related_to	3
RO:0000052	biolink:related_to	2
RO:0000056	biolink:participates_in	1
RO:0000057	biolink:has_participant	3
RO:0000079	biolink:related_to	1
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	5
RO:0000086	biolink:has_attribute	7
RO:0000087	biolink:has_attribute	5
RO:0001000	biolink:derives_from	1
RO:0001025	biolink:located_in	2
inverseOf	biolink:inverseOf	30
rdfs:subClassOf	biolink:subclass_of	1062
subPropertyOf	biolink:subPropertyOf	120
type	biolink:type	15
