relation	predicate	count
BFO:0000050	biolink:part_of	1331
BFO:0000051	biolink:has_part	1026
BFO:0000052	biolink:related_to	1
BFO:0000054	biolink:related_to	2
BFO:0000055	biolink:has_part	4
BFO:0000062	biolink:preceded_by	7
BFO:0000063	biolink:precedes	3
BFO:0000066	biolink:occurs_in	1
BFO:0000162	biolink:related_to	272
BSPO:0000096	biolink:coexists_with	4
BSPO:0000098	biolink:coexists_with	2
BSPO:0000099	biolink:coexists_with	2
BSPO:0000100	biolink:coexists_with	1
BSPO:0000102	biolink:coexists_with	2
BSPO:0000107	biolink:located_in	3
BSPO:0000108	biolink:located_in	3
BSPO:0000120	biolink:located_in	11
BSPO:0000121	biolink:located_in	11
BSPO:0000122	biolink:located_in	3
BSPO:0000123	biolink:located_in	4
BSPO:0000126	biolink:located_in	16
BSPO:0001106	biolink:part_of	1
BSPO:0001107	biolink:located_in	1
BSPO:0001108	biolink:part_of	2
CLO:0000015	biolink:related_to	1
CLO:0000179	biolink:related_to	5
CLO:0037208	biolink:related_to	1
IAO:0000136	biolink:related_to	12
IAO:0000412	biolink:related_to	88
IDO:0000664	biolink:contributes_to	1
OBI:0000293	biolink:has_participant	9
OBI:0000295	biolink:participates_in	11
OBI:0000299	biolink:has_output	7
OBI:0000312	biolink:related_to	6
OBI:0000417	biolink:related_to	12
OBI:0000643	biolink:related_to	3
OBO:OHPI_0000003	biolink:related_to	4425
OBO:OHPI_0000004	biolink:related_to	42
OBO:OHPI_0000005	biolink:related_to	226
OBO:OHPI_0000007	biolink:related_to	3090
OBO:OHPI_0000025	biolink:related_to	3179
OBO:OHPI_0000026	biolink:related_to	13
OBO:OHPI_0000029	biolink:related_to	73
OBO:OHPI_0000035	biolink:related_to	129
OBO:OHPI_0000036	biolink:related_to	13
OBO:OHPI_0000090	biolink:related_to	50
OBO:uberon/core#anteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#channel_for	biolink:coexists_with	9
OBO:uberon/core#channels_from	biolink:coexists_with	6
OBO:uberon/core#channels_into	biolink:coexists_with	3
OBO:uberon/core#conduit_for	biolink:coexists_with	8
OBO:uberon/core#existence_starts_and_ends_during	biolink:related_to	5
OBO:uberon/core#extends_fibers_into	biolink:coexists_with	26
OBO:uberon/core#filtered_through	biolink:coexists_with	2
OBO:uberon/core#posteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#protects	biolink:related_to	1
OBO:uberon/core#proximally_connected_to	biolink:coexists_with	3
OGG:0000000014	biolink:related_to	444
OGG:0000000016	biolink:related_to	444
RO:0000052	biolink:related_to	7
RO:0000057	biolink:has_participant	2
RO:0000059	biolink:related_to	1
RO:0000087	biolink:has_attribute	4532
RO:0000091	biolink:related_to	4
RO:0001000	biolink:derives_from	15
RO:0001015	biolink:location_of	6
RO:0001025	biolink:located_in	27
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	3
RO:0002007	biolink:part_of	10
RO:0002087	biolink:preceded_by	1
RO:0002134	biolink:related_to	9
RO:0002150	biolink:related_to	23
RO:0002170	biolink:related_to	4
RO:0002176	biolink:related_to	34
RO:0002177	biolink:related_to	1
RO:0002178	biolink:related_to	19
RO:0002179	biolink:related_to	25
RO:0002202	biolink:develops_from	303
RO:0002207	biolink:develops_from	1
RO:0002211	biolink:regulates	24
RO:0002212	biolink:negatively_regulates	22
RO:0002213	biolink:positively_regulates	22
RO:0002219	biolink:coexists_with	12
RO:0002220	biolink:coexists_with	39
RO:0002221	biolink:coexists_with	14
RO:0002223	biolink:temporally_related_to	1
RO:0002224	biolink:temporally_related_to	1
RO:0002229	biolink:temporally_related_to	1
RO:0002230	biolink:temporally_related_to	1
RO:0002254	biolink:related_to	35
RO:0002256	biolink:causes	13
RO:0002285	biolink:preceded_by	3
RO:0002297	biolink:has_output	1
RO:0002351	biolink:has_part	6
RO:0002371	biolink:related_to	7
RO:0002373	biolink:related_to	1
RO:0002376	biolink:part_of	4
RO:0002380	biolink:part_of	7
RO:0002385	biolink:related_to	8
RO:0002387	biolink:related_to	62
RO:0002433	biolink:overlaps	128
RO:0002473	biolink:has_part	42
RO:0002488	biolink:temporally_related_to	6
RO:0002489	biolink:temporally_related_to	1
RO:0002492	biolink:temporally_related_to	21
RO:0002493	biolink:temporally_related_to	5
RO:0002494	biolink:related_to	7
RO:0002495	biolink:related_to	30
RO:0002496	biolink:temporally_related_to	4
RO:0002497	biolink:temporally_related_to	1
RO:0002551	biolink:has_part	14
RO:0002572	biolink:part_of	28
RO:0002576	biolink:part_of	5
RO:0003000	biolink:produces	5
RO:0003001	biolink:produced_by	14
VO:0001243	biolink:related_to	6
VO:0003355	biolink:related_to	12
inverseOf	biolink:inverseOf	65
rdfs:subClassOf	biolink:subclass_of	15079
subPropertyOf	biolink:subPropertyOf	297
type	biolink:type	287
