relation	predicate	count
BFO:0000050	biolink:related_to	4
BFO:0000051	biolink:related_to	38
BFO:0000054	biolink:related_to	16
BFO:0000055	biolink:related_to	1
BFO:0000066	biolink:related_to	2
BFO:0000067	biolink:related_to	11
IAO:0000039	biolink:related_to	1
IAO:0000136	biolink:related_to	16
IAO:0000219	biolink:related_to	4
IAO:0000221	biolink:related_to	1
OBI:0000293	biolink:related_to	6
OBI:0000299	biolink:related_to	12
OBI:0000312	biolink:related_to	4
OMRSE:00000020	biolink:related_to	3
OMRSE:00000068	biolink:related_to	1
OMRSE:00000264	biolink:related_to	3
RO:0000052	biolink:related_to	6
RO:0000053	biolink:related_to	22
RO:0000056	biolink:related_to	1
RO:0000057	biolink:related_to	7
RO:0000059	biolink:related_to	1
RO:0002083	biolink:related_to	1
RO:0002087	biolink:related_to	1
RO:0002223	biolink:related_to	1
RO:0002229	biolink:related_to	1
RO:0002350	biolink:related_to	1
inverseOf	biolink:inverseOf	44
rdfs:subClassOf	biolink:subclass_of	674
subPropertyOf	biolink:subPropertyOf	181
type	biolink:type	437
