relation	predicate	count
BFO:0000050	biolink:part_of	63
BFO:0000051	biolink:has_part	3
BFO:0000054	biolink:related_to	2
BFO:0000055	biolink:has_part	2
BFO:0000062	biolink:preceded_by	12
BFO:0000063	biolink:precedes	5
BFO:0000066	biolink:occurs_in	3
BFO:0000082	biolink:related_to	1
BFO:0000167	biolink:has_participant	1
IAO:0000136	biolink:related_to	6
IAO:0000221	biolink:related_to	5
IAO:0020012	biolink:related_to	1
OBI:0000293	biolink:has_participant	3
OBI:0000299	biolink:has_output	8
OBO:fma#constitutional_part_of	biolink:related_to	50
OBO:fma#regional_part_of	biolink:related_to	140
OBO:fma#systemic_part_of	biolink:related_to	44
OBO:inheres_in	biolink:related_to	1
OBO:pato#decreased_in_magnitude_relative_to	biolink:related_to	11
OBO:pato#increased_in_magnitude_relative_to	biolink:related_to	10
OBO:pato#reciprocal_of	biolink:related_to	3
ONTONEO:10000010	biolink:related_to	1
RO:0000052	biolink:related_to	8
RO:0000056	biolink:participates_in	2
RO:0000057	biolink:has_participant	1
RO:0000087	biolink:has_attribute	1
RO:0001025	biolink:located_in	2
RO:0002087	biolink:preceded_by	5
RO:0002211	biolink:regulates	1
RO:0002215	biolink:capable_of	4
RO:0002217	biolink:related_to	1
RO:0002221	biolink:coexists_with	1
RO:0002223	biolink:temporally_related_to	1
RO:0002224	biolink:temporally_related_to	1
RO:0002229	biolink:temporally_related_to	1
RO:0002230	biolink:temporally_related_to	1
RO:0002254	biolink:related_to	1
RO:0002314	biolink:related_to	1
RO:0002503	biolink:actively_involved_in	1
http://purl.org/obo/owl/OBO_REL#exists_during	biolink:related_to	2
inverseOf	biolink:inverseOf	77
rdfs:subClassOf	biolink:subclass_of	1789
subPropertyOf	biolink:subPropertyOf	407
type	biolink:type	14
