relation	predicate	count
BFO:0000050	biolink:related_to	8
BFO:0000051	biolink:related_to	36
BFO:0000075	biolink:related_to	3
IAO:0000039	biolink:related_to	1
IAO:0000136	biolink:related_to	24
IAO:0000143	biolink:related_to	1
IAO:0000219	biolink:related_to	1
IAO:0000221	biolink:related_to	1
OBI:0000293	biolink:related_to	7
OBI:0000299	biolink:related_to	8
OBI:0000312	biolink:related_to	11
OBI:0000846	biolink:related_to	3
OBI:0001688	biolink:related_to	1
RO:0000052	biolink:related_to	6
RO:0000053	biolink:related_to	6
RO:0000057	biolink:related_to	4
inverseOf	biolink:inverseOf	19
rdfs:subClassOf	biolink:subclass_of	765
subPropertyOf	biolink:subPropertyOf	49
type	biolink:type	22
