relation	predicate	count
BFO:0000050	biolink:part_of	160
BFO:0000051	biolink:has_part	63
BFO:0000053	biolink:related_to	1
BFO:0000054	biolink:related_to	4
BFO:0000055	biolink:has_part	4
BFO:0000062	biolink:preceded_by	7
BFO:0000063	biolink:precedes	3
BFO:0000066	biolink:occurs_in	2
BSPO:0000096	biolink:coexists_with	1
BSPO:0000098	biolink:coexists_with	1
BSPO:0000102	biolink:coexists_with	1
BSPO:0000107	biolink:located_in	2
BSPO:0000108	biolink:located_in	2
BSPO:0000126	biolink:located_in	3
BSPO:0001106	biolink:part_of	1
IAO:0000136	biolink:related_to	47
OAE:0001788	biolink:related_to	5
OAE:0002081	biolink:related_to	1
OAE:0002616	biolink:related_to	1
OBI:0000107	biolink:related_to	4
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:has_participant	11
OBI:0000299	biolink:has_output	12
OBI:0000312	biolink:related_to	9
OBI:0000417	biolink:related_to	14
OBI:0000643	biolink:related_to	3
OBI:0001938	biolink:related_to	2
OBO:OPMI_0000171	biolink:related_to	9
OBO:OPMI_0000301	biolink:related_to	4
OBO:OPMI_0000305	biolink:related_to	5
OBO:OPMI_0000366	biolink:related_to	9
OBO:OPMI_0000481	biolink:related_to	3
OBO:OPMI_0000622	biolink:related_to	17
OBO:uberon/core#channel_for	biolink:coexists_with	2
OBO:uberon/core#conduit_for	biolink:coexists_with	2
OBO:uberon/core#existence_starts_and_ends_during	biolink:related_to	3
OMRSE:00000020	biolink:related_to	1
RO:0000052	biolink:related_to	15
RO:0000053	biolink:related_to	1
RO:0000056	biolink:participates_in	1
RO:0000057	biolink:has_participant	18
RO:0000059	biolink:related_to	1
RO:0000079	biolink:related_to	1
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	6
RO:0000086	biolink:has_attribute	2
RO:0000087	biolink:has_attribute	13
RO:0001000	biolink:derives_from	2
RO:0001015	biolink:location_of	2
RO:0001025	biolink:located_in	12
RO:0002002	biolink:related_to	1
RO:0002007	biolink:part_of	5
RO:0002087	biolink:preceded_by	2
RO:0002131	biolink:overlaps	1
RO:0002176	biolink:related_to	2
RO:0002202	biolink:develops_from	58
RO:0002211	biolink:regulates	1
RO:0002215	biolink:capable_of	1
RO:0002218	biolink:related_to	2
RO:0002219	biolink:coexists_with	5
RO:0002220	biolink:coexists_with	4
RO:0002221	biolink:coexists_with	3
RO:0002223	biolink:temporally_related_to	1
RO:0002224	biolink:temporally_related_to	1
RO:0002229	biolink:temporally_related_to	1
RO:0002230	biolink:temporally_related_to	1
RO:0002233	biolink:has_input	3
RO:0002234	biolink:has_output	4
RO:0002254	biolink:related_to	8
RO:0002256	biolink:causes	2
RO:0002285	biolink:preceded_by	1
RO:0002351	biolink:has_part	3
RO:0002353	biolink:has_output	2
RO:0002354	biolink:has_output	1
RO:0002387	biolink:related_to	16
RO:0002433	biolink:overlaps	3
RO:0002473	biolink:has_part	19
RO:0002488	biolink:temporally_related_to	4
RO:0002492	biolink:temporally_related_to	11
RO:0002493	biolink:temporally_related_to	3
RO:0002494	biolink:related_to	1
RO:0002495	biolink:related_to	12
RO:0002496	biolink:temporally_related_to	4
RO:0002497	biolink:temporally_related_to	1
RO:0002508	biolink:related_to	1
RO:0002551	biolink:has_part	1
RO:0002572	biolink:part_of	4
RO:0003000	biolink:produces	3
RO:0003001	biolink:produced_by	2
inverseOf	biolink:inverseOf	30
rdfs:subClassOf	biolink:subclass_of	3557
subPropertyOf	biolink:subPropertyOf	120
type	biolink:type	28
