relation	predicate	count
BFO:0000050	biolink:part_of	323
BFO:0000051	biolink:has_part	106
BFO:0000054	biolink:related_to	6
BFO:0000058	biolink:related_to	1
BFO:0000062	biolink:preceded_by	8
BFO:0000063	biolink:precedes	3
BFO:0000066	biolink:occurs_in	26
BFO:0000083	biolink:related_to	1
BFO:0000108	biolink:related_to	1
BFO:0000151	biolink:related_to	1
BFO:0000153	biolink:related_to	1
BFO:0000169	biolink:related_to	1
BSPO:0000096	biolink:coexists_with	3
BSPO:0000097	biolink:coexists_with	2
BSPO:0000098	biolink:coexists_with	1
BSPO:0000099	biolink:coexists_with	1
BSPO:0000100	biolink:coexists_with	2
BSPO:0000102	biolink:coexists_with	1
BSPO:0000107	biolink:located_in	2
BSPO:0000108	biolink:located_in	2
BSPO:0000120	biolink:located_in	1
BSPO:0000121	biolink:located_in	1
BSPO:0000123	biolink:located_in	1
BSPO:0000126	biolink:located_in	7
BSPO:0001106	biolink:part_of	1
OAE:0001735	biolink:related_to	8
OAE:0001788	biolink:related_to	2
OAE:0002081	biolink:related_to	7
OBI:0000293	biolink:has_participant	1
OBI:0000295	biolink:participates_in	48
OBI:0000299	biolink:has_output	1
OBI:0000312	biolink:related_to	1
OBI:0000417	biolink:related_to	1
OBO:bearer_of	biolink:related_to	85
OBO:inheres_in	biolink:related_to	2
OBO:uberon/core#anteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#channel_for	biolink:coexists_with	3
OBO:uberon/core#conduit_for	biolink:coexists_with	2
OBO:uberon/core#distally_connected_to	biolink:coexists_with	6
OBO:uberon/core#evolved_from	biolink:related_to	1
OBO:uberon/core#existence_starts_and_ends_during	biolink:related_to	3
OBO:uberon/core#extends_fibers_into	biolink:coexists_with	4
OBO:uberon/core#posteriorly_connected_to	biolink:coexists_with	1
OBO:uberon/core#protects	biolink:related_to	1
OBO:uberon/core#proximally_connected_to	biolink:coexists_with	10
OBO:unfolds_in	biolink:related_to	5
OGG:0000000014	biolink:related_to	2
OGG:0000000016	biolink:related_to	2
RO:0000057	biolink:has_participant	86
RO:0000086	biolink:has_attribute	26
RO:0000087	biolink:has_attribute	4
RO:0001015	biolink:location_of	1
RO:0001025	biolink:located_in	14
RO:0002002	biolink:related_to	1
RO:0002007	biolink:part_of	6
RO:0002087	biolink:preceded_by	1
RO:0002150	biolink:related_to	2
RO:0002170	biolink:related_to	2
RO:0002176	biolink:related_to	6
RO:0002202	biolink:develops_from	103
RO:0002219	biolink:coexists_with	5
RO:0002220	biolink:coexists_with	11
RO:0002221	biolink:coexists_with	3
RO:0002223	biolink:temporally_related_to	1
RO:0002224	biolink:temporally_related_to	1
RO:0002229	biolink:temporally_related_to	1
RO:0002230	biolink:temporally_related_to	1
RO:0002254	biolink:related_to	17
RO:0002256	biolink:causes	4
RO:0002285	biolink:preceded_by	2
RO:0002351	biolink:has_part	5
RO:0002385	biolink:related_to	9
RO:0002387	biolink:related_to	35
RO:0002433	biolink:overlaps	21
RO:0002473	biolink:has_part	31
RO:0002488	biolink:temporally_related_to	5
RO:0002489	biolink:temporally_related_to	1
RO:0002492	biolink:temporally_related_to	18
RO:0002493	biolink:temporally_related_to	2
RO:0002494	biolink:related_to	1
RO:0002495	biolink:related_to	24
RO:0002496	biolink:temporally_related_to	4
RO:0002497	biolink:temporally_related_to	1
RO:0002551	biolink:has_part	14
RO:0002572	biolink:part_of	5
RO:0002576	biolink:part_of	8
RO:0003000	biolink:produces	3
RO:0003001	biolink:produced_by	2
VO:0000270	biolink:related_to	1
VO:0000531	biolink:related_to	14
VO:0000547	biolink:related_to	2
VO:0001243	biolink:related_to	63
VO:0003355	biolink:related_to	51
http://www.obofoundry.org/ro/ro.owl#has_disposition	biolink:related_to	1
inverseOf	biolink:inverseOf	19
rdfs:subClassOf	biolink:subclass_of	2297
subPropertyOf	biolink:subPropertyOf	81
type	biolink:type	18
