relation	predicate	count
BFO:0000050	biolink:part_of	15
BFO:0000051	biolink:has_part	27
BFO:0000053	biolink:related_to	1
BFO:0000054	biolink:related_to	3
IAO:0000039	biolink:has_unit	3
IAO:0000136	biolink:related_to	20
IAO:0000219	biolink:related_to	4
OBI:0000293	biolink:has_participant	1
OBI:0000299	biolink:has_output	2
OBI:0000417	biolink:related_to	1
OBI:0000643	biolink:related_to	1
OBI:0001927	biolink:has_attribute	1
OBI:0001938	biolink:related_to	3
OMRSE:00000020	biolink:related_to	1
OMRSE:00000068	biolink:related_to	1
RO:0000052	biolink:related_to	11
RO:0000053	biolink:related_to	1
RO:0000087	biolink:has_attribute	4
inverseOf	biolink:inverseOf	13
rdfs:subClassOf	biolink:subclass_of	313
subPropertyOf	biolink:subPropertyOf	21
