relation	predicate	count
BFO:0000050	biolink:related_to	21
BFO:0000051	biolink:related_to	111
BFO:0000067	biolink:related_to	1
OBO:chebi#has_functional_parent	biolink:related_to	75
OBO:chebi#has_parent_hydride	biolink:related_to	28
OBO:chebi#is_conjugate_acid_of	biolink:related_to	166
OBO:chebi#is_conjugate_base_of	biolink:related_to	166
OBO:chebi#is_enantiomer_of	biolink:related_to	36
OBO:chebi#is_substituent_group_from	biolink:related_to	14
OBO:chebi#is_tautomer_of	biolink:related_to	52
OBO:envo#has_increased_levels_of	biolink:related_to	2
RO:0000052	biolink:related_to	7
RO:0000053	biolink:related_to	1
RO:0000057	biolink:related_to	6
RO:0000086	biolink:related_to	15
RO:0000087	biolink:related_to	704
RO:0001000	biolink:related_to	2
RO:0002007	biolink:related_to	1
RO:0002131	biolink:related_to	4
RO:0002214	biolink:related_to	2
RO:0002219	biolink:related_to	2
RO:0002220	biolink:related_to	4
RO:0002234	biolink:related_to	1
RO:0002303	biolink:related_to	1
RO:0002354	biolink:related_to	1
RO:0002473	biolink:related_to	28
RO:0002507	biolink:related_to	6
RO:HOM0000000	biolink:related_to	1
inverseOf	biolink:inverseOf	19
rdfs:subClassOf	biolink:subclass_of	4058
subPropertyOf	biolink:subPropertyOf	124
