relation	predicate	count
BFO:0000050	biolink:related_to	73
BFO:0000051	biolink:related_to	160
BFO:0000062	biolink:related_to	2
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	9
OBO:GOREL_0002004	biolink:related_to	3
OBO:chebi#has_functional_parent	biolink:related_to	78
OBO:chebi#has_parent_hydride	biolink:related_to	19
OBO:chebi#is_conjugate_acid_of	biolink:related_to	180
OBO:chebi#is_conjugate_base_of	biolink:related_to	180
OBO:chebi#is_enantiomer_of	biolink:related_to	44
OBO:chebi#is_substituent_group_from	biolink:related_to	15
OBO:chebi#is_tautomer_of	biolink:related_to	68
OBO:pr#has_gene_template	biolink:related_to	1
RO:0000053	biolink:related_to	6
RO:0000086	biolink:related_to	1
RO:0000087	biolink:related_to	821
RO:0000091	biolink:related_to	1
RO:0002082	biolink:related_to	3
RO:0002092	biolink:related_to	2
RO:0002093	biolink:related_to	1
RO:0002160	biolink:related_to	11
RO:0002211	biolink:related_to	82
RO:0002212	biolink:related_to	69
RO:0002213	biolink:related_to	71
RO:0002215	biolink:related_to	6
RO:0002223	biolink:related_to	1
RO:0002224	biolink:related_to	2
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	2
RO:0002295	biolink:related_to	1
RO:0002296	biolink:related_to	3
RO:0002297	biolink:related_to	1
RO:0002315	biolink:related_to	1
RO:0002338	biolink:related_to	4
RO:0002339	biolink:related_to	18
RO:0002344	biolink:related_to	2
RO:0002353	biolink:related_to	1
RO:0002489	biolink:related_to	1
RO:0002493	biolink:related_to	1
RO:0002497	biolink:related_to	1
RO:0002588	biolink:related_to	6
RO:0002590	biolink:related_to	7
RO:0002592	biolink:related_to	13
RO:0004007	biolink:related_to	24
RO:0004008	biolink:related_to	20
RO:0004009	biolink:related_to	34
RO:0015007	biolink:related_to	15
RO:0015008	biolink:related_to	15
RO:0015010	biolink:related_to	12
RO:0015012	biolink:related_to	8
inverseOf	biolink:inverseOf	29
rdfs:subClassOf	biolink:subclass_of	5639
subPropertyOf	biolink:subPropertyOf	180
type	biolink:type	18
