relation	predicate	count
BFO:0000050	biolink:part_of	619
BFO:0000051	biolink:has_part	23
BFO:0000066	biolink:occurs_in	30
BSPO:0000096	biolink:coexists_with	5
BSPO:0000098	biolink:coexists_with	1
BSPO:0000099	biolink:coexists_with	5
BSPO:0000104	biolink:coexists_with	1
BSPO:0000113	biolink:coexists_with	2
BSPO:0001107	biolink:located_in	8
BSPO:0015001	biolink:coexists_with	3
BSPO:0015005	biolink:coexists_with	4
BSPO:0015006	biolink:coexists_with	1
BSPO:0015007	biolink:coexists_with	3
BSPO:0015008	biolink:coexists_with	7
BSPO:0015014	biolink:coexists_with	5
OBO:bspo#parallel_to	biolink:related_to	2
OBO:pato#correlates_with	biolink:related_to	1
OBO:pato#decreased_in_magnitude_relative_to	biolink:related_to	19
OBO:pato#has_cross_section	biolink:related_to	1
OBO:pato#increased_in_magnitude_relative_to	biolink:related_to	19
OBO:pato#reciprocal_of	biolink:related_to	6
PLANA:0007536	biolink:related_to	60
RO:0001018	biolink:part_of	656
RO:0002092	biolink:related_to	7
RO:0002131	biolink:overlaps	23
RO:0002180	biolink:has_part	63
RO:0002202	biolink:develops_from	42
RO:0002211	biolink:regulates	299
RO:0002212	biolink:negatively_regulates	253
RO:0002213	biolink:positively_regulates	248
RO:0002220	biolink:coexists_with	5
RO:0002490	biolink:related_to	601
RO:0002496	biolink:temporally_related_to	80
RO:0002497	biolink:temporally_related_to	20
RO:0003000	biolink:produces	1
RO:0003001	biolink:produced_by	9
inverseOf	biolink:inverseOf	42
rdfs:subClassOf	biolink:subclass_of	6276
subPropertyOf	biolink:subPropertyOf	206
