relation	predicate	count
BFO:0000050	biolink:part_of	80
BFO:0000051	biolink:has_part	29
OBO:PORO_0000946	biolink:related_to	2
OBO:chebi#BFO_0000051	biolink:related_to	22
OBO:chebi#has_functional_parent	biolink:related_to	1
OBO:chebi#is_conjugate_acid_of	biolink:related_to	2
OBO:chebi#is_conjugate_base_of	biolink:related_to	2
OBO:sponge#echinates	biolink:related_to	1
OBO:sponge#lined_by	biolink:related_to	5
OIO:hasScope	biolink:related_to	1
RO:0000053	biolink:related_to	1
RO:0000056	biolink:participates_in	1
RO:0000087	biolink:has_attribute	15
RO:0002150	biolink:related_to	4
RO:0002180	biolink:has_part	6
RO:0002202	biolink:develops_from	10
RO:0002215	biolink:capable_of	7
RO:0002219	biolink:coexists_with	1
RO:0002220	biolink:coexists_with	4
RO:0002221	biolink:coexists_with	2
RO:0002297	biolink:has_output	1
RO:0002473	biolink:has_part	21
RO:0003000	biolink:produces	2
RO:0003001	biolink:produced_by	2
owl:disjointWith	owl:disjointWith	8
owl:equivalentClass	biolink:same_as	1
owl:inverseOf	owl:inverseOf	11
owl:versionIRI	owl:versionIRI	1
rdfs:domain	rdfs:domain	11
rdfs:range	rdfs:range	12
rdfs:subClassOf	biolink:subclass_of	1003
rdfs:subPropertyOf	biolink:subclass_of	45
